name	F type	FIA type	FIB type	IncF RST
CP014577	S1	A-	B17	S1:A-:B17
CP014650	K2	A-	B-	K2:A-:B-
CP014668	F29	A-	B10	F29:A-:B10
CP014669	K2	A-	B-	K2:A-:B-
CP014697	K1	A-	B-	K1:A-:B-
CP014765	K2	A-	B-	K2:A-:B-
CP014962	S1	A-	B17	S1:A-:B17
CP014968	S1	A-	B17	S1:A-:B17
CP014970	S1	A-	B17	S1:A-:B17
CP014973	S1	A-	B17	S1:A-:B17
CP014976	S1	A-	B17	S1:A-:B17
CP014980	S1	A-	B17	S1:A-:B17
CP014997	S1	A-	B-	S1:A-:B-
CP015021	F23	A-	B3	F23:A-:B3
CP015022	F23	A-	B3	F23:A-:B3
CP015070	F1	A2	B20	F1:A2:B20
CP015072	F2	A-	B-	F2:A-:B-
CP015077	F1	A1	B1	F1:A1:B1
CP015086	F1	A1	B16	F1:A1:B16
CP015131	F29	A-	B10	F29:A-:B10
CP015132	K8	A-	B-	K8:A-:B-
CP015135	K8	A-	B-	K8:A-:B-
CP015140	F1	A2	B20	F1:A2:B20
CP015158	S1	A-	B17	S1:A-:B17
CP015160	F29!/F2!	A-	B10	F29!/F2!:A-:B10
CP015239	F63*	A2	B45*	F63*:A2:B45*
CP015246	F86*	A-	B42	F86*:A-:B42
CP015383	K7	A-	B-	K7:A-:B-
CP015386	K1	A-	B-	K1:A-:B-
CP015387	Y7?*	A21?*	B-	Y7?*:A21?*:B-
CP015388	F2	A-	B-	F2:A-:B-
CP015393	K2	A-	B-	K2:A-:B-
CP015395	K1	A-	B-	K1:A-:B-
CP015396	K3	A21*	B-	K3:A21*:B-
CP015503	F2	A-	B-	F2:A-:B-
CP015525	S1	A-	B22	S1:A-:B22
CP015527	S1	A-	B22	S1:A-:B22
CP015599	S1	A-	B17	S1:A-:B17
CP015754	K10	A21?*	B-	K10:A21?*:B-
CP015816	F23	A16?*	B3	F23:A16?*:B3
CP015823	K1	A-	B-	K1:A-:B-
CP015824	K2	A-	B-	K2:A-:B-
CP015836	F36	A-	B32	F36:A-:B32
CP015844	F23	A16?*	B3	F23:A16?*:B3
CP015847	F23	A16?*	B3	F23:A16?*:B3
CP015854	F23	A-	B3	F23:A-:B3
CP015856	F23!/F23!	A-	B3	F23!/F23!:A-:B3
CP015914	F46	A-	B20	F46:A-:B20
CP016035	F48	A1	B49	F48:A1:B49
CP016160	K10	A21?*	B-	K10:A21?*:B-
CP016274	Y1	A-	B-	Y1:A-:B-
CP016389	F2	A-	B-	F2:A-:B-
CP016390	S1	A-	B17	S1:A-:B17
CP016402	F33	A-	B-	F33:A-:B-
CP016403	F33	A-	B-	F33:A-:B-
CP016498	F51	A-	B10	F51:A-:B10
CP016626	F23	A16?*	B3	F23:A16?*:B3
CP016763	Y3	A-	B-	Y3:A-:B-
CP016810	K2	A-	B-	K2:A-:B-
CP016812	K2	A-	B-	K2:A-:B-
CP016933	Y2	A-	B-	Y2:A-:B-
CP016936	Y2	A-	B-	Y2:A-:B-
CP016939	Y2	A-	B-	Y2:A-:B-
CP016943	Y2	A-	B-	Y2:A-:B-
CP016946	Y2	A-	B-	Y2:A-:B-
CP017086	F33	A-	B-	F33:A-:B-
CP017178	S1	A-	B22	S1:A-:B22
CP017221	F67	A6	B38?	F67:A6:B38?
CP017233	S1	A-	B22	S1:A-:B22
CP017250	F23	A-	B44?	F23:A-:B44?
CP017252	F23	A-	B3?	F23:A-:B3?
CP017281	K19	A21?*	B-	K19:A21?*:B-
CP017286	K19	A21?*	B-	K19:A21?*:B-
CP017287	F2	A-	B-	F2:A-:B-
CP017386	K21?*	A-	B-	K21?*:A-:B-
CP017435	F23	A-	B3	F23:A-:B3
CP017437	F23	A-	B3	F23:A-:B3
CP017439	F23	A-	B3	F23:A-:B3
CP017441	F23	A-	B3	F23:A-:B3
CP017443	F23	A-	B3	F23:A-:B3
CP017445	F23	A-	B3	F23:A-:B3
CP017447	F23	A-	B3	F23:A-:B3
CP017473	Y3*	A-	B-	Y3*:A-:B-
CP017585	K21?*	A-	B-	K21?*:A-:B-
CP017590	Y8?*	A-	B-	Y8?*:A-:B-
CP017618	S1	A-	B17	S1:A-:B17
CP017620	S1	A-	B17	S1:A-:B17
CP017633	F33	A-	B-	F33:A-:B-
CP017670	F23	A-	B3	F23:A-:B3
CP017726	F16	A-	B-	F16:A-:B-
CP017729	S1	A-	B17	S1:A-:B17
CP017848	F6!/F11!	A-	B-	F6!/F11!:A-:B-
CP017851	K19	A21?*	B-	K19:A21?*:B-
CP017852	F2	A-	B-	F2:A-:B-
CP017929	S5?*	A-	B-	S5?*:A-:B-
CP017981	F33	A-	B-	F33:A-:B-
CP018107	F104?	A-	B-	F104?:A-:B-
CP018113	F104?	A-	B-	F104?:A-:B-
CP018119	F104?	A-	B-	F104?:A-:B-
CP018125	F104?	A-	B-	F104?:A-:B-
CP018238	F23	A-	B3	F23:A-:B3
CP018240	F23	A-	B3	F23:A-:B3
CP018242	F23	A-	B3	F23:A-:B3
CP018244	F23	A-	B3	F23:A-:B3
CP018246	F23	A-	B44?	F23:A-:B44?
CP018248	F23	A-	B3	F23:A-:B3
CP018251	F23	A-	B3	F23:A-:B3
CP018253	F23	A-	B3	F23:A-:B3
CP018340	K2	A21*	B-	K2:A21*:B-
CP018343	F2	A-	B-	F2:A-:B-
CP018351	K1	A-	B-	K1:A-:B-
CP018355	K1	A-	B-	K1:A-:B-
CP018361	K30?*	A21?*	B-	K30?*:A21?*:B-
CP018365	K1	A-	B-	K1:A-:B-
CP018366	Y4	A-	B36	Y4:A-:B36
CP018424	K1	A-	B-	K1:A-:B-
CP018430	K1	A-	B-	K1:A-:B-
CP018434	K1	A-	B-	K1:A-:B-
CP018441	K1	A-	B-	K1:A-:B-
CP018455	F33	A-	B-	F33:A-:B-
CP018460	K1	A-	B-	K1:A-:B-
CP018462	F2	A-	B-	F2:A-:B-
CP018626	F23	A-	B3	F23:A-:B3
CP018634	S3	A-	B18	S3:A-:B18
CP018636	S1	A-	B22*	S1:A-:B22*
CP018639	S1	A-	B22	S1:A-:B22
CP018641	S1	A-	B22	S1:A-:B22
CP018643	F2	A-	B-	F2:A-:B-
CP018650	S1	A-	B22	S1:A-:B22
CP018653	S1	A-	B22	S1:A-:B22
CP018656	S1	A8	B22	S1:A8:B22
CP018658	S1	A-	B17	S1:A-:B17
CP018660	S1	A-	B22	S1:A-:B22
CP018663	S1	A-	B22	S1:A-:B22
CP018670	K4	A21?*	B-	K4:A21?*:B-
CP018675	K1	A-	B-	K1:A-:B-
CP018693	K1	A-	B-	K1:A-:B-
CP018775	C4	A-	B6	C4:A-:B6
CP018815	Y7?*	A21*	B-	Y7?*:A21*:B-
CP018818	K19	A-	B-	K19:A-:B-
CP018886	K1	A-	B-	K1:A-:B-
CP018947	F36!/F22!	A1	B20	F36!/F22!:A1:B20
CP018952	F1	A2	B20	F1:A2:B20
CP018955	K9	A-	B-	K9:A-:B-
CP018958	F35	A-	B-	F35:A-:B-
CP018960	F48	A1	B1	F48:A1:B1
CP018964	F36!/F31!	A4	B1	F36!/F31!:A4:B1
CP018969	F1	A2	B20	F1:A2:B20
CP018973	F2	A-	B-	F2:A-:B-
CP018978	F2	A1	B-	F2:A1:B-
CP018982	F1*	A2	B20	F1*:A2:B20
CP018989	K2	A13	B-	K2:A13:B-
CP018990	F36!/F31!	A4	B1	F36!/F31!:A4:B1
CP018992	K2	A-	B-	K2:A-:B-
CP018994	F2	A-	B1	F2:A-:B1
CP019001	F36!/F31!	A16?	B-	F36!/F31!:A16?:B-
CP019007	F24	A-	B73	F24:A-:B73
CP019009	F1	A2	B20	F1:A2:B20
CP019014	F2	A1	B-	F2:A1:B-
CP019018	C4	A-	B8	C4:A-:B8
CP019028	F36!/F22!	A1	B20	F36!/F22!:A1:B20
CP019055	C4	A6?	B8	C4:A6?:B8
CP019065	K30?*	A-	B-	K30?*:A-:B-
CP019076	F36	A4	B-	F36:A4:B-
CP019180	S3	A-	B-	S3:A-:B-
CP019187	S5?*	A-	B-	S5?*:A-:B-
CP019244	F16?*	A-	B-	F16?*:A-:B-
CP019247	F24	A-	B1	F24:A-:B1
CP019251	C4	A-	B1	C4:A-:B1
CP019261	F46	A-	B20	F46:A-:B20
CP019268	C4	A-	B1	C4:A-:B1
CP019269	F33	A-	B-	F33:A-:B-
CP019272	F33	A-	B-	F33:A-:B-
CP019276	F33	A-	B-	F33:A-:B-
CP019282	C4	A-	B1	C4:A-:B1
CP019444	F2	A-	B-	F2:A-:B-
CP019456	F64*	A-	B45	F64*:A-:B45
CP019561	F2	A-	B-	F2:A-:B-
CP019696	F27	A-	B-	F27:A-:B-
CP019710	Y1?*	A-	B-	Y1?*:A-:B-
CP019773	K1	A-	B-	K1:A-:B-
CP019774	K2	A-	B-	K2:A-:B-
CP019909	C4	A-	B-	C4:A-:B-
CP019910	F2	A-	B-	F2:A-:B-
CP019954	F2*	A-	B59	F2*:A-:B59
CP020057	F77	A-	B-	F77:A-:B-
CP020059	Y6	A-	B-	Y6:A-:B-
CP020062	K3	A-	B-	K3:A-:B-
CP020064	Y6	A-	B-	Y6:A-:B-
CP020065	K1	A21*	B-	K1:A21*:B-
CP020069	K5	A-	B-	K5:A-:B-
CP020072	K1	A-	B-	K1:A-:B-
CP020087	F27	A-	B-	F27:A-:B-
CP020109	K1	A-	B-	K1:A-:B-
CP020113	S1	A-	B1	S1:A-:B1
CP020117	F1	A2	B-	F1:A2:B-
CP020337	F27	A-	B-	F27:A-:B-
CP020338	F103	A-	B-	F103:A-:B-
CP020340	F2	A-	B-	F2:A-:B-
CP020343	F27	A-	B-	F27:A-:B-
CP020496	F1	A1	B49	F1:A1:B49
CP020499	K1	A-	B-	K1:A-:B-
CP020506	K5	A-	B70	K5:A-:B70
CP020508	K5	A-	B70	K5:A-:B70
CP020510	F47	A-	B75	F47:A-:B75
CP020515	F36!/F22!	A1	B20	F36!/F22!:A1:B20
CP020517	F2	A-	B-	F2:A-:B-
CP020519	F1	A1	B49	F1:A1:B49
CP020523	K7	A-	B-	K7:A-:B-
CP020546	F24	A-	B1	F24:A-:B1
CP020824	S1	A-	B22	S1:A-:B22
CP020826	S1	A-	B22	S1:A-:B22
CP020838	K1	A-	B-	K1:A-:B-
CP020842	K1	A-	B-	K1:A-:B-
CP020843	K7	A-	B-	K7:A-:B-
CP020851	K4!/K4!	A10*	B-	K4!/K4!:A10*:B-
CP020855	K5	A-	B-	K5:A-:B-
