name	Biocide	Metal	Heat	Virulence	Acid
CP010911					
AP018527					
LN794248		merB,merD,merR,pcoS,terD,terW,terZ			
CP028681					
NC_019223					
GQ293074					
CP022909					
CP034113	qacC				
CP002973					
CP010131					
CP028697				ehxA,espP,etpD,katP,toxB	
CP021699	qacE	terB,terC,terD,terE			
CP019215					
CP036943					
CP035348					
NC_006278					
CP015997					
KT997783					
NC_017183					
CP021534					
CU928147				senB	
CP041228					
MK439381					
NC_005862					
CP021022					
LC469775					
CP015486					
CP012106					
CP022448					
CP015914					
KC222021					
NC_015918					
CP028593					
CP033147					
DQ227327					
NC_003455					
CP023286		copA,copB			
CP017588					
CP018693		arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	hsp20		
CP018868					
NC_008821					
CP009339					
NC_004670					
AP011140					
AP018192					
CP019365					
CP021410					
MG825374					
CP027698					
CP016710					
CP024151					
CP010370					
NC_015055		arsB,arsH			
CP011383					
CP045861					
NC_002139					
CP042480	qacEdelta1,qacG2	merA,merD,merE,merR,merT			
CP002268					
CP038792				espP,iucA,iucB,iucC,iucD,iutA	
NC_020451					
NC_018980					
EU935738					
CP021796					
NC_001378					
CP040306				ehxA,espP,etpD,katP,toxB	
CP016427					
CP018698	qacEdelta1	merA,merB,merD,merE,merP,merR,merT			
NC_013348	qacB,qacR	cadD		sel30	
CP028344					
CP040894		merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS			
CP011431					
CP031592					
DQ011664					
CP041108					
NC_017494					
NC_005564					
CP001757					
CP010592					
LR134257		pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terB,terC,terD,terE		iroB,iroC,iroD,iroN,iucA,iucB,iucC,iutA,rmpA,rmpC,rmpD	
NC_020121					
CP041525					
MH423313					
CP031914				ehxA,espP,etpD,katP,toxB	
CP029988					
CP031360					
CP043774					
KX009063					
CP001273					
CP012754	qacEdelta1	merA,merD,merE,merR,merT,terB,terC,terD,terE			
CP035659					
MG869624					
EF432638					
CP038010	qacEdelta1				
CP017191					
FP236827					
AP010805					
NC_016828					
CP002577					
NC_019961					
CP025550					
CP022921					
CP033570					
KF364956					
CP015000					
NC_009829					
CP033890					
CP039604					
CP021730					
CP024776					
CP032212					
CP021177	qacEdelta1	terD,terW,terZ			
NC_011784					
CP040842					
CP031080					
CP018771					
CP028100					
CP029763					
CP003226					
AP018545					
CP041049	qacEdelta1				
KY401053		terD,terW,terZ			
AM180255					
NC_019553					
CP030515					
NC_015699					
CP002112					
CP037247					
AY907345					
LT592147					
NC_020261		pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,silA,silB,silC,silE,silF,silP,silR,silS			
AJ224743					
AP018926					
CP030674	qacA,qacR				
NC_003125					
CP001906					
CP001923					
CP031735		arsA,arsD,arsR,pcoE	hsp20		
CP042971					
CP012684					
CP001005					
CP044791					
CP021100					
CP034040					
NC_019109	qacEdelta1	merR			
MH068822		cadD			
CP034881					
AP012168					
NC_025106	qacEdelta1				
NC_002138					
CP016481					
CP030215	qacEdelta1	merA,merB,merD,merE,merP,merR,merT			
MK413719	qacEdelta1	merA,merD,merE,merR,merT,terB,terC,terD,terE			
CP014152					
KX810025					
NC_011248					
AP019743					
KT693144					
CP018325					
NC_011640					
CP010092					
AP018138	qacEdelta1				
CP017424					
NC_019980					
CP011615		arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoR,silA,silP,silR			
CP018986					
CP025283					
CP021514					
CP030916				capU,ipaD,ipaH9.8,sepA,virF	
CP031285					
CP037274					
CP019692					
CP025504					
CP042214		tcrB			
CP029953	qacEdelta1	merC,merP,merR,merT			
CP013682					
NC_006663					
CP001597					
CP000443					
CP002785					
MH626559	qacL	merC,merP,merR,merT			
MK933271		cadD			
CP026972					
AP012162					
CP043947	qacEdelta1				
NC_011411					
NC_006143	qacEdelta1				
CP020582					
HQ128580					
NC_006399					
CP003533					
CP002430					
NC_017533					
CP002943					
CP041642					
EU092237					
CP013256					
NC_011264					
AP019693					
CP022081					
CP030603					
CP035048					
AE001575					
CP022613					
CP000228					
CP014254					
CP045217					
CP034733					
CP015245					
CP042127					
CP034578					
CP024582					
KX756453					
CP029737	qacEdelta1				
CP024342					
CP034050					
CP013281					
KC417495					
CP006684					
CP040082					
AY112724					
CP040876					
CP019716					
CP013191				astA,capU,ltcA	
LT985386					
CP023831					
CP001153					
CP042623					
CP026014	qacEdelta1	merA,merD,merE,merR,merT,terB,terC,terD			
CP022284					
CP001380					
CP012955					
NC_013128					
KY000043					
MF679146					
AM167518					
EU709732					
CP002550					
JN119829					
CP043188					
JF834909					
CP031568	qacEdelta1	pcoS			
NC_017207					
CP018203					
CP033857					
KJ721805					
CP034477					
MF495477					
KX434882					
CP033873					
CP013848					
CP034187					
CP019281					
JQ657805					
KX785329					
NC_024980	qacEdelta1				
LT960791					
NC_007414				ehxA,espP,etpD,katP,toxB	
CP033560					
CP042414					
NC_014753					
CP010168					
GQ900449		arsB,arsC,arsR			
CP033863					
HE603212					
CP019714					
CP005952					
CP030981		arsB,arsC,arsH,arsR			
KC020049					
CP024341					
CP000396					
KP178913					
FN543095					
CP002823					
CP021540	qacEdelta1	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	hsp20		
CP009433					
LC477294					
CP026426					
CP018716	qacEdelta1	merA,merB,merD,merE,merP,merR,merT			
CP024373					
CP020965					
CP018453					
CP040670					
CP027525					
LR026972					
LR134454					
CP012558					
CP023713					
NC_014911		merD,merE,merF,merP,merR,merT			
KY770024					
CP018714		terB,terC,terD,terE			
MH522410					
CP013706					
CP039029					
CP012107					
CP013983					
CP010158				iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,tsh	
HF677575					
GQ149345					
FM180570					
CP028640				ehxA,espP,etpD,katP,toxB	
NC_012220					
CP033627		arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	hsp20		
AP018313					
CP036541					
CP022936					
AP018547					
FN868248					
CU468132					
NC_018969					
CP007256					
CP016006					
CP025737	qacEdelta1			iucA,iucB	
CP016746					
CP023421					
CP000311					
HG813250		cadC			
CP015441					
CP020090					
DQ302475					
CP045608					
NC_011228					
CP019872					
LT985268	qacEdelta1				
CP032105					
CP042868	qacEdelta1	merC,merP,merT,terB,terC,terD,terE			
CP044061					
CP034397					
MF344582	qacEdelta1	merA,merD,merE,merR,merT,pcoS,terD,terW,terZ			
CP001036					
CP041020					
CP003365					
GQ900420					
NC_019898					
CP001532					
NC_013962					
CP009316					
U38428					
NC_010872					
NC_012507					
CP032536					
CP014472					
JX627580					
CP041669					
CP036456					
CP026758					
AP018214					
CP009658					
CP015158					
CP024459				iucA,iucC,iutA	
CP025686		copB			
KY000029					
NC_010333					
KJ484640					
KT982616					
AP019544	qacA,qacR	cadD			
MF168945	qacEdelta1	merD,merE,merF,merP,merR,merT			
CP040070	qacEdelta1				
CP025679					
CP021415					
CP016363					
CP020110	qacL	merC			
NC_019005					
AP009487					
CP019918					
NC_012267					
CP030571		cadD			
CP036355					
MF344559					
JF827298					
CP042054					
NC_019033					
CP011540	qacEdelta1	merA,merC,merD,merE,merP,merR,merT			
AB058947					
NC_009794					
CP024786					
CP036152					
CP003757					
CP034407					
CP027173		merA,merD,merE,merP,merR,merT			
AP018559					
CP027614		merD,merP,merR,merT			
CP028646				ehxA,espP,etpD,katP,toxB	
CP018235					
NC_009130		arsB			
CP020602					
MF415608					
CP034740					
KX009507	qacEdelta1				
MH785236					
AF164559					
CP009696					
CP017270					
CP033797					
JQ657806					
CP031161					
NC_020241					
CP021994					
NC_025130					
CP030349					
AP012036					
MF078635					
AP012298					
CP033761				iucA,iucB,iucC,iucD,iutA	
CP038598					
CP025250					
NC_005327					
CP022534		ncrA,ncrB,ncrC,ncrY			
CP034744					
AE001577					
NC_011648					
CP021198				iucA,iucB,iucC,iucD,iutA	
MK041211					
CP001938	qacEdelta1				
CP000565					
CP003031					
CP022675					
LT985276					
NC_011965					
FJ696404					
CP032107					
CP032610					
HG796447					
HF545433					
CP015991	qacEdelta1	merA,merD,merE,merR,merT			
CP042111					
AP019384	qacEdelta1	merA,merC,merD,merE,merP,merR,merT,terD,terW,terZ			
CP016721					
CP024398					
GU195642					
CP036969					
CP042327					
CP010004					
CP003469					
CP030938					
CP035160					
CP039568					
NC_022599					
CP026148	qacEdelta1				
CP020493	qacEdelta1,qacL	merC,merP,merR,merT,terD,terW,terZ			
AJ744860		klaB,klaC			
CP030480					
CP019709					
CP013785					
KM085450				ehxA,epeA,espP,iha,subA,subB	
NC_005244					
CP016362					
CP017318					
CP033437					
AY929248					
JX101647					
CP012281					
CP024524		merA,merD,merE,merR,merT			
NC_011332					
CP001929					
NC_011790					
KX009064					
AY509003					
CP001246					
CP001520					
CP009219					
CP003580					
AJ871637					
HQ833018					
KC734560					
CP000710					
CP015169					
CP020758					
CP021875					
CP021004					
CP029723	qacEdelta1	merA,merD,merE,merF,merP,merR,merT			
AY541809					
CP039711					
CP032264					
CP002647					
CP044541					
CP016520					
CP045390					
DQ458911					
JN935898					
KY296096					
CP010320					
CP043521					
CP004127					
CP015325					
CP009439					
AB198069					
CP026015					
CP010909					
MK671726	qacEdelta1				
AP019404	qacEdelta1				
U88088					
AY546103					
CP017725					
LC483179					
CP034699					
CP035218					
MG299134					
JQ418541					
CP042897				cvaC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,tsh	
NC_012193					
CP000833					
NC_012509					
AP020319	qacB,qacR	arsB,arsC,arsR,cadD			
NC_009378					
MG197502					
HG796418					
CP006919					
CP041100		arsA,arsD,arsR,merA,merD,merE,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	hsp20		
MG836696					
KX244760					
KY579372					
MF150123					
MG197495					
CP017425					
CP017586					
MK431775					
CP030090					
CP038603					
CP029836					
MK933276		cadD			
CP017417					
NC_015922					
CP040237					
CP010582					
CP010374					
CP033436					
AF236060					
CP037219					
CP006056		merA,merD,merE,merR,merT			
CP031542					
CP012704					
NC_014107		arsA,arsD,arsR,merD,merE,merF,merP,merR,merT,ncrA,ncrB,ncrC,ncrY,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ			
MH522414					
CP022060					
MH785256					
AP001071					
CP036561					
CP037515					
CP017589					
MF996511					
CP038793					
NC_023899					
JQ418528					
CP045259					
CP007558	qacEdelta1	merR,merT			
CP022269					
MF150121					
NC_017213					
CP033882					
NC_009496					
CP024708		pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terB,terC,terD,terE		iroB,iroC,iroD,iroN,iucA,iucB,iucC,iutA,rmpA,rmpC,rmpD	
CP042007					
CP038851					
NC_023330					
AE000667					
CP010758					
CP024211					
CP021101					
CP024577					
CP020697					
NC_021724					
NC_002611					
CP024359					
CP027180					
CP004864					
CP020746					
FP928999					
LT985257					
CP020734					
CP011527		arsB,arsC,arsR,mco			
CP018922					
AP018252					
NC_011974					
LS998788					
CP019014	qacEdelta1	ncrA,ncrB,ncrC,ncrY			
CP016597					
CP001286					
LR134218					
CP030444		cadD			
KT935446	qacEdelta1				
CP041445					
CP011590					
NC_017637				faeG	
AP019401		pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS			
CP035560					
CP040809	qacE				
CP023738					
CP042866	qacEdelta1	merC,merP,merT,terB,terC,terD,terE			
CP034821					
NC_012113					
LT985275	qacEdelta1	merR			
CP034828					
CP033887					
NC_009350					
CP030186	qacEdelta1	merC,merP,merR,pcoS,terD,terW,terZ			
HE616891					
CP004863					
CP018365	qacEdelta1	arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	hsp20		
CP040725					
JX442977		merC			
CP001170					
CP023361				iucA,iucB,iucC,iucD,iutA	
CP016842					
NC_019743					
CP033517					
CP023906					
CP018989		merA,merC,merD,merE,merR,merT			
CP035723					
CP042136					
CP015299					
CP000014					
CP036334					
KJ541070	qacEdelta1				
KC853439	qacEdelta1	merC,merP,merR,merT			
CP029374					
HG796847					
CP010672					
CP037249					
NC_010113					
CP019461					
KX709966					
CP017573					
AP018239					
CP001915					
CP013734					
KX960109					
CP030685	qacC				
JN106165		merA,merD,merE,merP,merR,merT			
NC_009790				capU,eatA	
CP033764					
CP010386					
CP010141	qacEdelta1	merC,merP,merR,merT		cvaC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF	
CP008840					
CP032114					
CP015008					
MG649065					
CP013513					
CP023793					
CP002995					
MF774791					
KU743384	qacL	terD,terW,terZ			
AE003851					
CP039600					
JQ245702					
CP016536					
CP016451					
CP024393					
NC_019211					
CP013804					
NC_022375					
CP002127					
CP023027					
CP032688					
CP034586					
MK439382					
CP035511					
MF589339				cvaC,iroB,iroC,iroD,iroE,iroN,iss	
CP042417					
LT985247					
CP011611	qacEdelta1				
NC_010857					
CP023982					
KT779550					
CP042614					
CP034774					
CP019318					
JQ066766					
CP024322					
CP026838				capU,senB	
FN822749					
CP042006					
CP010579					
LT984414					
CP034138		arsA,arsB,arsC,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terB,terC,terD,terE			
MH547560	qacEdelta1				
KJ776582					
CP033879					
CP027615					
MK416151				cvaC,iroB,iroC,iroD,iroE,iroN,iss	
CP037225					
CP031446					
MK416183					
CP032109					
NC_018746					
FJ705807					
HE579060	qacA,qacR	cadC,cadD,merA,merB,merT			
MG552133					
CP044017					
NC_020087					
CP003968					
CP013072					
CP034580					
CP001345					
CP035157					
CP005090					
CP045446	qacEdelta1	merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ			
NC_012107					
CP018739					
AB914479					
CP020829	bcrB,bcrC	cadC			
CP021681					
CP031220					
CP039925					
CP024430					
CP034041					
CP024167					
CP019251		merC,merP,merR,merT		cvaC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF	
CP026163					
CP032119					
CP031590					
NC_017410					
JX065631					
CP001573					
CP026685					
CP033519					
CP014753				ehxA,etpD	
AP018831					
MG212496					
CP001539					
CP030677					
CP017199					
CP020074					
NC_020282					
NC_012631					
AB480167					
AP011126					
CP031072					
CP012473					
CP029106					
CP003647					
CP029793					
MH507589					
CP035148					
NC_017858					
CP020839					
CP032277					
CP021877					
NC_023905		merC			
CP018960	qacEdelta1				
CP002128					
NC_018997					
CP031851			hdeD-GI,hsp20,kefB-GI,psi-GI,shsP,trxLHR,yfdX1,yfdX2		
CP029955	qacEdelta1	merC,merP,merR,merT			
FN428572					
HG796850					
CP000063					
CP032800					
HG796808					
AP019676				cvaC,iroB,iroC,iroD,iroE,iroN,iss	
NC_009929					
CP014871					
CP022575					
CP003432					
NC_022610	qacA,qacR	cadC,cadD,merA,merB,merT			
MH049740					
MH476540		merA,merD,merE,merR,merT			
NC_013311					
AB018481					
CP018048					
CP041268					
NC_007959					
CP029628					
CP037269					
KU302808					
CP009939					
CP016461					
MG462728		arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS			
AF243383					
NC_012130					
CP018336					
NC_018682					
AP018582					
CP044103					
CP037419					
CP020499		arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	hsp20		
CP015733					
CP021414					
CP010452					
CP013736					
MH522409					
MF175190					
KY595965					
CP032995		silA,silB,silC,silE,silF,silR,silS			
KP691641					
CP043182					
NC_020422					
NC_012247					
JQ041633					
CP010743					
CP018433					
CP033825					
MF344562	qacEdelta1	merA,merD,merE,merR,merT,terB,terC,terD			
EF050075					
KC491195					
NC_007322					
CP015089					
CP030208					
CP024254					
CP044792					
CP034652					
CP025516		arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS			
LT960792					
CP013024		merC,merP,merR,merT			
KP900015					
LR134445					
HG934082	qacEdelta1	merR,merT			
CP028905					
CP039718					
CP026168					
HM235948					
CP044662					
KX646543	qacEdelta1	merC,merP,merR,merT			
AP018525					
NC_010722					
CP009881					
CP042209					
CP042827					
CP025054	qacEdelta1				
CP017224					
KX912255	qacEdelta1				
MG210937					
CP018996					
CP037253					
CP023883					
CP003780					
CP044170					
CP017223					
CP010622					
CP014850					
CP015015					
NC_013420					
CP021010					
AB479513					
CP016699					
CP018981					
KY000061					
CP038624					
LR134412					
CP016361					
CP033461					
MG764549	qacEdelta1	merA,merD,merR,merT			
CP030338					
CP015391					
CP037069					
NC_017415					
CP013512					
EU881985					
CP005091					
NC_012040					
NC_012260					
CP044807					
KM210086					
MK933269		cadD			
AB000510					
CP039994					
NC_014917					
CP001449					
CU468233					
CP025338					
CP024218					
CP022184					
KT868530					
CP011953					
CP023425					
MH785228					
CP020440					
CP041966					
CP031511					
NC_021180	qacE				
CP026534					
AP006842					
NC_006323					
CP018473					
AB265741					
MF547664					
MH143074					
CP033050					
CP022178					
CP023790					
NC_005918					
HG796315					
CP020824					
CP035754					
NC_003114					
NC_012153					
CP015530					
CP038274					
MH202956					
CP021278					
NC_021988					
CP026579	qacEdelta1				
CP031177					
CP030077	qacEdelta1				
NC_015956					
CP042491					
NC_019092					
KM583818					
NC_010874					
CP024132					
MF168405		merC,merP,merR,merT			
CP001319					
AP014813					
CP045449	qacEdelta1	merC,merP,merR,merT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ			
CP017215					
CP045218					
CP043758					
CP027568					
NC_015701					
AP019857					
NC_001764					
CP010638					
NC_010848					
CP024389					
CP029769					
CP042494		merA,merD,merE,merR,merT,pcoS,terD,terW,terZ			
CP045061				iucA,iutA,mchF	
CP024372					
MK036887		merC,merP,merR,merT			
NC_012236					
CP001652					
CP029724		arsA,arsD,arsR,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS			
AP018458				senB	
NC_004931					
AP012300					
JQ031552					
CP012887					
CP026206		merD,merE,merP,merR,merT	hdeD-GI,shsP,yfdX1,yfdX2		
CP027039					
AY509004	qacEdelta1,qacL				
NC_012693		merA,merB,merD,merE,merP,merR,merT			
CP019727					
CP000690					
CP030560		cadD			
NC_019239					
CP011363					
LT985287					
CP009993		arsB,arsH			
KX443401					
CP032741					
CP005075					
HF677574					
KX062091					
CP025270					
CP041121					
NC_012181					
CP010165					
AB604032				cpe	
JN983042		pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ			
CP018442	qacEdelta1				
CP041558					
CP021661					
AP014686					
CP002258					
CP035021					
CP019212					
CP035650					
LT985223					
CP015133					
CP037231					
CP035646					
CP010233					
MG299135	qacEdelta1				
AP018278					
CP032657					
AP019694					
CP026158	qacEdelta1				
CP031840					
CP026388					
MH781720					
NC_004773					
NC_019397					
CP036572					
CP028515					
GU569091					
CP000985					
CP018733					
CP034126					
CP001418					
KU513859		cadC			
CP036460					
CP019691					
FR719211					
CP019955					
CP033143					
KJ958927		merA,merD,merE,merR,merT			
CP042108					
NC_019155		merC			
CP029792					
CP001017					
CP033146					
AP014953					
CP000637					
MK033578					
CP034790					
CP026783				capU,ipaD,ipaH4,ipaH9.8	
JX469828	qacG2				
AP017563					
CP035722					
CP032314					
AJ716330					
CP030392		cadD		sed,sej,ser	
CP041997		terD,terW,terZ		cvaC,iucA,iucB,iucC,iucD,iutA	
CP025966	qacEdelta1				
KY000060					
NC_019232					
CP035509					
CP038622					
CP014911					
CP020589					
GQ900441					
AF079317					
CP029200					
CP025883					
CP031815		pcoA,pcoB,pcoC,pcoD,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS			
CP000694					
NC_023318					
CP044223					
CP024261					
AP013064	qacEdelta1	merD,merE,merP,merR,merT			
MK323043		merA,merD,merR,merT			
CP045414					
CP004375					
CP003612					
CP026127					
NC_009426					
GQ395338					
AY858987					
CP028979					
CP009324					
CP029611		merA,merD,merE,merR,merT			
NC_017211					
CP028860					
CP025496					
CP027195					
CP037500					
NC_012495					
CP004037					
CP010760					
CP000741					
CP013918					
CP030195					
NC_011413					
AP018749					
CP023191					
CP027301					
KJ868088					
CP034948					
CP009873					
HE577332					
AB479511					
CP022152		arsA,arsD,arsR			
CP035205					
CP036184					
CP028582	qacEdelta1	merC,merP,merR,merT			
CP002348					
CP038630					
CP036333					
KX023261					
CP012709					
NC_019040					
KY865319					
NC_011722					
CP016943		arsB,arsC,arsH,arsR			
MH995507	qacEdelta1				
CP032313					
CP043856	qacEdelta1	merA,merD,merE,merR,merT			
CP041450					
CP006039					
LR134413					
AP017934					
CP015505					
CP037248					
NC_022910					
KF998105					
NC_017021					
CP022926		arsA,arsD,arsR,merC,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	hsp20		
CP028675					
CP015501		ncrA,ncrB,ncrC,ncrY,terB,terC,terD,terE			
CP039905					
CP036591					
CP043524					
CP021087	qacEdelta1			cvaC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF	
MF344570	qacEdelta1				
CP016369					
NC_021210					
HQ659758					
NC_007962					
MH917285	qacEdelta1	merC,merP,merR,merT			
CP015838					
CP023684					
LT991587					
CP027463				ehxA,epeA,iha	
CP040365		merR1			
HG977524					
CP024568					
CP045785				capU,ipaD,ipaH9.8,senB,virF	
CP033095	qacL				
CP029429	qacEdelta1				
AP011141					
CP013624	qacG				
CP025498					
CP037277					
NC_015162					
MF458176					
CP041545					
CP041962					
NC_017675					
GU363552					
CP024777					
CP001373					
CP023675					
CP045336					
CP010692					
CP042210			hdeD-GI,trxLHR		
CP020435					
NC_015689					
NC_012172					
D26094					
CP020426					
CP029726					
CP008833		merC			
NC_022573					
CP030242					
U78513					
CP020500	qacL	merC			
NC_009344					
KT334397					
CP012956		merA,merD,merE,merR,merT			
NC_014124					
CP022281					
CP031315					
CP042125					
CP021213					
NC_013419					
CP002087					
NC_017311					
CP031408					
CP044959					
CP042998					
CP010682					
CP000914					
CP001440					
AP012160					
CP037911					
CP029204					
CP035117					
CP012489					
NC_016600					
JQ245700					
CP014389		cadD			
JX101643					
KJ187752	qacE	merA,merD,merE,merR,merT			
NC_009432					
CP026661	qacEdelta1	merC,merP,merR,merT,pcoS,silA,silB,silC,silE,silF,silP,silR,silS,terD,terW,terZ			
CP000470		merA,merD,merE,merR,merT,silA,silB,silC,silF,silP,silR,silS			
LC019731					
LR134455					
CP030698		cadD			
CP040571				ehxA,espP,etpD,katP,toxB	
CP006031					
MF344558					
CP016558					
CP043613					
CP011598					
CP043436					
CP033796					
CP025915					
NC_019125					
AY126018					
NC_017734					
CP017857					
CP045801					
CP011628	qacEdelta1				
NC_012516					
CP025807					
CP044272					
