name	pMLST_scheme	Sequence_type	Nearest_ST
NC_015956	incac	None	
CP042491	incac	None	
NC_019092	incac	None	
KM583818	incac	None	
NC_010874	incac	None	
CP024132	incac	None	
MF168405	incac	None	
CP001319	incac	None	
AP014813	incac	None	
CP045449	incac	None	
CP017215	incac	None	
CP045218	incac	None	
CP043758	incac	None	
CP027568	incac	None	
NC_015701	incac	None	
AP019857	incac	None	
NC_001764	incac	None	
CP010638	incac	None	
NC_010848	incac	None	
CP024389	incac	None	
CP029769	incac	None	
CP042494	incac	None	
CP045061	incac	None	
CP024372	incac	None	
MK036887	incac	None	
NC_012236	incac	None	
CP001652	incac	None	
CP029724	incac	None	
AP018458	incac	None	
NC_004931	incac	None	
AP012300	incac	None	
JQ031552	incac	None	
CP012887	incac	None	
CP026206	incac	None	
CP027039	incac	None	
AY509004	incac	None	
NC_012693	incac	3	
CP019727	incac	None	
CP000690	incac	None	
CP030560	incac	None	
NC_019239	incac	None	
CP011363	incac	None	
LT985287	incac	None	
CP009993	incac	None	
KX443401	incac	None	
CP032741	incac	None	
CP005075	incac	None	
HF677574	incac	None	
KX062091	incac	None	
CP025270	incac	None	
CP041121	incac	None	
NC_012181	incac	None	
CP010165	incac	None	
AB604032	incac	None	
JN983042	incac	None	
CP018442	incac	None	
CP041558	incac	None	
CP021661	incac	None	
AP014686	incac	None	
CP002258	incac	None	
CP035021	incac	None	
CP019212	incac	None	
CP035650	incac	None	
LT985223	incac	None	
CP015133	incac	None	
CP037231	incac	None	
CP035646	incac	None	
CP010233	incac	None	
MG299135	incac	None	
AP018278	incac	None	
CP032657	incac	None	
AP019694	incac	None	
CP026158	incac	None	
CP031840	incac	None	
CP026388	incac	None	
MH781720	incac	None	
NC_004773	incac	None	
NC_019397	incac	None	
CP036572	incac	None	
CP028515	incac	None	
GU569091	incac	None	
CP000985	incac	None	
CP018733	incac	None	
CP034126	incac	None	
CP001418	incac	None	
KU513859	incac	None	
CP036460	incac	None	
CP019691	incac	None	
FR719211	incac	None	
CP019955	incac	None	
CP033143	incac	None	
KJ958927	incac	None	
CP042108	incac	None	
NC_019155	incac	None	
CP029792	incac	None	
CP001017	incac	None	
CP033146	incac	None	
AP014953	incac	None	
CP000637	incac	None	
MK033578	incac	None	
CP034790	incac	None	
CP026783	incac	None	
JX469828	incac	None	
AP017563	incac	None	
CP035722	incac	None	
CP032314	incac	None	
AJ716330	incac	None	
CP030392	incac	None	
CP041997	incac	None	
CP025966	incac	None	
KY000060	incac	None	
NC_019232	incac	None	
CP035509	incac	None	
CP038622	incac	None	
CP014911	incac	None	
CP020589	incac	None	
GQ900441	incac	None	
AF079317	incac	None	
CP029200	incac	None	
CP025883	incac	None	
CP031815	incac	None	
CP000694	incac	None	
NC_023318	incac	None	
CP044223	incac	None	
CP024261	incac	None	
AP013064	incac	None	
MK323043	incac	None	
CP045414	incac	None	
CP004375	incac	None	
CP003612	incac	None	
CP026127	incac	None	
NC_009426	incac	None	
GQ395338	incac	None	
AY858987	incac	None	
CP028979	incac	None	
CP009324	incac	None	
CP029611	incac	None	
NC_017211	incac	None	
CP028860	incac	None	
CP025496	incac	None	
CP027195	incac	None	
CP037500	incac	None	
NC_012495	incac	None	
CP004037	incac	None	
CP010760	incac	None	
CP000741	incac	None	
CP013918	incac	None	
CP030195	incac	None	
NC_011413	incac	None	
AP018749	incac	None	
CP023191	incac	None	
