name	Species	O-type	H-type	Serotype	QC	Evidence	GeneScores	AlleleKeys	GeneIdentities(%)	GeneCoverages(%)	GeneContigNames	GeneRanges	GeneLengths	Database	Warnings
AusGEM_01630	-	O8/O155	H20	O8/O155:H20	-	Based on 3 allele(s)	wzm:0.999;wzt:1;fliC:1;	O8-14-wzm;O8-30-wzt;H20-1-fliC-origin;	99.874;100;100;	100;100;100;	contig00032;contig00032;contig00001;	21909-22703;22703-23917;308780-310510;	795;1215;1731;	v1.0 (11-03-2020)	-
AUSMDU00059811	-	O77/O17/O44/O106/O73	H18	O77/O17/O44/O106/O73:H18	-	Based on 2 allele(s)	wzx:0.999;fliC:1;	O77-1-wzx-origin/O17-1-wzx-origin;H18-1-fliC-origin;	99.919;99.94;	100;100;	contig00030;contig00013;	56021-57256;30243-31907;	1236;1665;	v1.0 (11-03-2020)	High similarity O-antigen group 9:O17/O44/O73/O77/O106 as per A.Iguchi et.al (PMID: 25428893)
AUSMDU00028959	-	O8	H21	O8:H21	-	Based on 3 allele(s)	wzm:1;wzt:0.998;fliC:1;	O8-1-wzm-origin;O8-3-wzt-origin;H21-10-fliC;	100;99.835;99.797;	100;100;100;	contig00043;contig00043;contig00030;	19729-20523;18515-19729;38772-40247;	795;1215;1476;	v1.0 (11-03-2020)	-
AUSMDU00034183	-	O51	H9	O51:H9	-	Based on 3 allele(s)	wzx:0.53;wzy:0.979;fliC:1;	O51-3-wzx;O51-7-wzy;H9-1-fliC-origin;	100;99.901;99.95;	53;98;100;	contig00048;contig00048;contig00025;	1-824;1700-2713;29178-31190;	824;1014;2013;	v1.0 (11-03-2020)	-
AusGEM_00649	-	O25	H1	O25:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O25-3-wzx;O25-5-wzy;H1-1-fliC-origin;	100;100;99.944;	100;100;100;	contig00002;contig00002;contig00001;	386273-387533;389690-390752;174615-176402;	1261;1063;1788;	v1.0 (11-03-2020)	-
AUSMDU00019445	-	O2/O50	H1	O2/O50:H1	-	Based on 3 allele(s)	wzx:0.998;wzy:1;fliC:1;	O2-1-wzx-origin;O2-11-wzy;H1-1-fliC-origin;	99.842;100;100;	100;100;100;	contig00007;contig00007;contig00013;	3849-5111;1174-2136;57715-59502;	1263;963;1788;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
SRR7828667	-	-	H18	-:H18	-	Based on 1 allele(s)	fliC:0.97;	H18-2-fliC;	97.187;	100;	contig00035;	30346-32016;	1671;	v1.0 (11-03-2020)	-
AusGEM_00518	-	O4	H31	O4:H31	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O4-1-wzx-origin;O4-2-wzy-origin;H31-2-fliC-origin;	100;100;100;	100;100;100;	contig00001;contig00001;contig00001;	624721-625959;626855-628042;797961-799628;	1239;1188;1668;	v1.0 (11-03-2020)	-
AUSMDU00059587	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	contig00017;contig00017;contig00028;	89777-91036;93189-94251;6783-7832;	1260;1063;1050;	v1.0 (11-03-2020)	-
TEA_A3_60	-	-	H10	-:H10	-	Based on 1 allele(s)	fliC:1;	H10-20-fliC;	100;	100;	CADHCZ010000077.1;	32682-33944;	1263;	v1.0 (11-03-2020)	-
AusGEM_01903	-	O143	H4	O143:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O143-4-wzx;O143-7-wzy;H4-2-fliC-origin;	99.917;100;100;	100;100;100;	contig00024;contig00024;contig00011;	43583-44788;46772-47853;32849-33898;	1206;1082;1050;	v1.0 (11-03-2020)	-
SRR13735220	-	O8	H7	O8:H7	-	Based on 3 allele(s)	wzm:0.996;wzt:0.997;fliC:1;	O8-13-wzm;O8-4-wzt-origin;H7-6-fliC-origin;	99.623;99.671;100;	100;100;100;	contig00001;contig00001;contig00001;	447010-447804;445796-447010;356349-358106;	795;1215;1758;	v1.0 (11-03-2020)	-
AusGEM_01912	-	O102	H6	O102:H6	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O102-6-wzx;O102-9-wzy;H6-17-fliC;	100;100;100;	100;100;100;	contig00001;contig00001;contig00002;	30619-31806;28486-29616;376877-378529;	1188;1131;1653;	v1.0 (11-03-2020)	-
TEA_A4_15	-	O127/O90	H21	O127/O90:H21	-	Based on 2 allele(s)	wzx:0.979;fliC:1;	O127-2-wzx-origin;H21-2-fliC-origin;	99.92;100;	98;100;	CADGUZ010000063.1;CADGUZ010000069.1;	67666-68917;29863-31338;	1252;1476;	v1.0 (11-03-2020)	High similarity O-antigen group 4:O90/O127 as per A.Iguchi et.al (PMID: 25428893)
TEA_E4980	-	O103	H21	O103:H21	-	Based on 2 allele(s)	wzx:0.499;fliC:1;	O103-1-wzx-origin;H21-12-fliC;	99.844;100;	50;100;	CADHLD010000382.1;CADHLD010000060.1;	1-639;28386-29861;	639;1476;	v1.0 (11-03-2020)	-
AusGEM_01214	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	contig00005;contig00005;contig00012;	59689-60948;56474-57536;38314-39363;	1260;1063;1050;	v1.0 (11-03-2020)	-
TEA_M028	-	O8	H10	O8:H10	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O8-10-wzm;O8-25-wzt;H10-13-fliC;	100;100;100;	100;100;100;	CADGTB010000052.1;CADGTB010000052.1;CADGTB010000036.1;	9589-10383;10383-11597;32577-33838;	795;1215;1262;	v1.0 (11-03-2020)	-
SRR11341631	-	O9	H10	O9:H10	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O9-5-wzm-origin;O9-6-wzt-origin;H10-4-fliC;	100;100;100;	100;100;100;	contig00023;contig00023;contig00006;	32744-33529;33532-34827;87474-88735;	786;1296;1262;	v1.0 (11-03-2020)	-
TEA_20_1_TC6	-	O168	H7	O168:H7	-	Based on 2 allele(s)	wzx:0.49;fliC:1;	O168-1-wzx-origin;H7-6-fliC-origin;	100;100;	49;100;	CADGYG010000182.1;CADGYG010000025.1;	1-619;6901-8658;	619;1758;	v1.0 (11-03-2020)	-
AUSMDU00004541	-	O8	H8	O8:H8	-	Based on 3 allele(s)	wzm:0.999;wzt:0.999;fliC:1;	O8-1-wzm-origin;O8-3-wzt-origin;H8-2-fliC-origin;	99.874;99.918;99.932;	100;100;100;	contig00034;contig00034;contig00021;	14711-15505;15505-16719;46765-48243;	795;1215;1479;	v1.0 (11-03-2020)	-
AusGEM_00679	-	O6	H7	O6:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-9-wzx;O6-7-wzy-origin;H7-4-fliC-origin;	100;100;100;	100;100;100;	contig00001;contig00001;contig00001;	459719-460975;460975-462318;639114-640871;	1257;1344;1758;	v1.0 (11-03-2020)	-
AusGEM_01107	-	O6	H31	O6:H31	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O6-1-wzx-origin;O6-26-wzy;H31-2-fliC-origin;	100;100;100;	100;100;100;	contig00004;contig00004;contig00003;	311951-313207;313207-314550;350431-352098;	1257;1344;1668;	v1.0 (11-03-2020)	-
AUSMDU00005057	-	O77/O17/O44/O106	H27	O77/O17/O44/O106:H27	-	Based on 2 allele(s)	wzx:1;fliC:1;	O77-1-wzx-origin/O17-1-wzx-origin;H27-7-fliC;	100;100;	100;100;	contig00015;contig00031;	911-2146;10376-11752;	1236;1377;	v1.0 (11-03-2020)	High similarity O-antigen group 9:O17/O44/O73/O77/O106 as per A.Iguchi et.al (PMID: 25428893)
AusGEM_01993	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	contig00001;contig00001;contig00028;	124136-125395;120921-121983;15223-16272;	1260;1063;1050;	v1.0 (11-03-2020)	-
AusGEM_00290	-	O153	H49	O153:H49	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.99;	O153-3-wzx-origin;O153-4-wzy-origin;H49-3-fliC;	100;100;98.997;	100;100;100;	contig00035;contig00035;contig00001;	47663-48841;45528-46706;69753-71447;	1179;1179;1695;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
AUSMDU00021459	-	-	H5	-:H5	-	Based on 1 allele(s)	fliC:1;	H5-6-fliC;	100;	100;	contig00032;	50834-52143;	1310;	v1.0 (11-03-2020)	-
AUSMDU00008495	-	O102	H6	O102:H6	-	Based on 3 allele(s)	wzx:1;wzy:0.509;fliC:1;	O102-6-wzx;O102-9-wzy;H6-17-fliC;	100;99.827;100;	100;51;100;	contig00019;contig00019;contig00001;	97245-98432;99435-100013;357103-358755;	1188;579;1653;	v1.0 (11-03-2020)	-
AusGEM_01686	-	-	H21	-:H21	-	Based on 1 allele(s)	fliC:1;	H21-12-fliC;	99.932;	100;	contig00001;	46778-48253;	1476;	v1.0 (11-03-2020)	-
TEA_W2_76	-	-	H18	-:H18	-	Based on 1 allele(s)	fliC:1;	H18-1-fliC-origin;	100;	100;	CADHHO010000215.1;	7781-9445;	1665;	v1.0 (11-03-2020)	-
AusGEM_00007	-	O153	H34	O153:H34	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O153-3-wzx-origin;O153-4-wzy-origin;H34-5-fliC;	100;100;100;	100;100;100;	contig00029;contig00029;contig00004;	536-1714;2671-3849;49472-51109;	1179;1179;1638;	v1.0 (11-03-2020)	High similarity O-antigen group 11:O153/O178 as per A.Iguchi et.al (PMID: 25428893)
AUSMDU00008498	-	O130	H45	O130:H45	-	Based on 3 allele(s)	wzx:0.689;wzy:0.621;fliC:1;	O130-1-wzx-origin;O130-2-wzy-origin;H45-3-fliC;	99.886;98.569;100;	69;63;100;	contig00071;contig00053;contig00003;	1-879;8279-8977;244254-245960;	879;699;1707;	v1.0 (11-03-2020)	-
AusGEM_01663	-	O11	H25	O11:H25	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O11-4-wzx;O11-5-wzy;H25-14-fliC;	100;100;100;	100;100;100;	contig00019;contig00019;contig00010;	47675-48910;45709-46944;56003-57322;	1236;1236;1320;	v1.0 (11-03-2020)	-
AUSMDU00021202	-	O102	H6	O102:H6	-	Based on 2 allele(s)	wzx:1;fliC:1;	O102-6-wzx;H6-17-fliC;	100;100;	100;100;	contig00115;contig00035;	937-2124;22464-24116;	1188;1653;	v1.0 (11-03-2020)	-
TEA_C1_3	-	O71	H12	O71:H12	-	Based on 2 allele(s)	wzx:1;fliC:1;	O71-1-wzx-origin;H12-3-fliC-origin;	100;100;	100;100;	CADHGL010000369.1;CADHGL010000155.1;	420-1694;810-2597;	1275;1788;	v1.0 (11-03-2020)	-
AusGEM_01685	-	-	H21	-:H21	-	Based on 1 allele(s)	fliC:1;	H21-12-fliC;	100;	100;	contig00009;	159745-161220;	1476;	v1.0 (11-03-2020)	-
TEA_2H_277_1	-	-	H4	-:H4	-	Based on 1 allele(s)	fliC:1;	H4-2-fliC-origin;	100;	100;	CADHLK010000149.1;	13534-14583;	1050;	v1.0 (11-03-2020)	-
AusGEM_00354	-	O166	H11	O166:H11	-	Based on 3 allele(s)	wzx:0.998;wzy:0.995;fliC:1;	O166-1-wzx-origin;O166-4-wzy;H11-4-fliC;	99.761;99.535;100;	100;100;100;	contig00012;contig00012;contig00003;	85658-86911;87802-88875;27607-29065;	1254;1075;1459;	v1.0 (11-03-2020)	-
SRR7724749	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	contig00036;contig00036;contig00019;	8928-10187;12340-13402;97169-98218;	1260;1063;1050;	v1.0 (11-03-2020)	-
AUSMDU00015820	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.54;wzy:0.49;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	100;100;100;	54;49;100;	contig00035;contig00123;contig00011;	1-826;1-529;7100-8409;	826;529;1310;	v1.0 (11-03-2020)	-
AUSMDU00034360	-	O16	H5	O16:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O16-1-wzx-origin;O16-2-wzy-origin;H5-7-fliC;	100;100;100;	100;100;100;	contig00011;contig00011;contig00006;	147383-148630;149741-150907;30999-32308;	1248;1167;1310;	v1.0 (11-03-2020)	-
AusGEM_00698	-	-	H11	-:H11	-	Based on 1 allele(s)	fliC:1;	H11-4-fliC;	100;	100;	contig00001;	75946-77404;	1459;	v1.0 (11-03-2020)	-
AUSMDU00010405	-	O102	H6	O102:H6	-	Based on 2 allele(s)	wzx:1;fliC:1;	O102-6-wzx;H6-17-fliC;	100;99.638;	100;100;	contig00014;contig00001;	1489-2676;30075-31733;	1188;1659;	v1.0 (11-03-2020)	-
TEA_E8496	-	O93	H28	O93:H28	-	Based on 3 allele(s)	wzx:1;wzy:0.55;fliC:1;	O93-1-wzx-origin;O93-2-wzy-origin;H28-7-fliC;	100;100;100;	100;55;100;	CADGFN010000020.1;CADGFN010000020.1;CADGFN010000057.1;	853-2052;1-831;7024-8763;	1200;831;1740;	v1.0 (11-03-2020)	-
AusGEM_01186	-	O75	H7	O75:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O75-4-wzx;O75-11-wzy;H7-4-fliC-origin;	100;100;100;	100;100;100;	contig00001;contig00001;contig00003;	639834-641366;633862-634935;282419-284176;	1533;1074;1758;	v1.0 (11-03-2020)	-
AusGEM_00193	-	O71	H4	O71:H4	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O71-1-wzx-origin;O71-2-wzy-origin;H4-2-fliC-origin;	99.922;100;100;	100;100;100;	contig00038;contig00038;contig00028;	12604-13878;15283-16572;22753-23802;	1275;1290;1050;	v1.0 (11-03-2020)	-
AusGEM_01650	-	O11	H25	O11:H25	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O11-4-wzx;O11-5-wzy;H25-14-fliC;	100;100;100;	100;100;100;	contig00016;contig00016;contig00010;	88540-89775;86574-87809;56000-57319;	1236;1236;1320;	v1.0 (11-03-2020)	-
AusGEM_00619	-	O9	H9	O9:H9	-	Based on 3 allele(s)	wzm:1;wzt:1;fliC:1;	O9-14-wzm;O9-19-wzt;H9-3-fliC;	100;100;100;	100;100;100;	contig00033;contig00033;contig00018;	25751-26536;26539-27834;46931-48943;	786;1296;2013;	v1.0 (11-03-2020)	-
AusGEM_00363	-	O66	H25	O66:H25	-	Based on 3 allele(s)	wzx:0.999;wzy:0.768;fliC:1;	O66-1-wzx-origin;O66-2-wzy-origin;H25-11-fliC;	99.925;99.794;100;	100;77;100;	contig00006;contig00006;contig00025;	192537-193874;194981-195951;66838-68157;	1338;971;1320;	v1.0 (11-03-2020)	-
AUSMDU00015849	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.54;wzy:0.585;fliC:1;	O75-4-wzx;O75-11-wzy;H5-6-fliC;	100;99.218;100;	54;59;100;	contig00025;contig00062;contig00009;	56019-56852;1027-1665;46325-47634;	834;639;1310;	v1.0 (11-03-2020)	-
AusGEM_01259	-	O11	H45	O11:H45	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O11-4-wzx;O11-5-wzy;H45-6-fliC;	100;100;100;	100;100;100;	contig00057;contig00057;contig00026;	11021-12256;9055-10290;16667-18373;	1236;1236;1707;	v1.0 (11-03-2020)	-
SRR7758879	-	-	H5	-:H5	-	Based on 1 allele(s)	fliC:1;	H5-6-fliC;	100;	100;	contig00085;	7231-8540;	1310;	v1.0 (11-03-2020)	-
TEA_TA256	-	-	H1	-:H1	-	Based on 1 allele(s)	fliC:1;	H1-11-fliC;	100;	100;	CADGGT010000052.1;	187873-189660;	1788;	v1.0 (11-03-2020)	-
AusGEM_00773	-	O6	H1	O6:H1	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O6-1-wzx-origin;O6-7-wzy-origin;H1-1-fliC-origin;	99.92;100;100;	100;100;100;	contig00025;contig00025;contig00001;	5499-6755;6755-8098;152847-154634;	1257;1344;1788;	v1.0 (11-03-2020)	-
AUSMDU00034373	-	-	H9	-:H9	-	Based on 1 allele(s)	fliC:1;	H9-1-fliC-origin;	100;	100;	contig00001;	285024-287036;	2013;	v1.0 (11-03-2020)	-
TEA_H158	-	O62	H30	O62:H30	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O62-1-wzx-origin;O62-2-wzy-origin;H30-1-fliC-origin;	100;100;100;	100;100;100;	CADGHI010000045.1;CADGHI010000045.1;CADGHI010000027.1;	129392-130603;132632-133738;34888-36600;	1212;1107;1713;	v1.0 (11-03-2020)	High similarity O-antigen group 14:O62/O68 as per A.Iguchi et.al (PMID: 25428893)
AUSMDU00007336	-	-	H18	-:H18	-	Based on 1 allele(s)	fliC:0.97;	H18-2-fliC;	97.187;	100;	contig00007;	99464-101134;	1671;	v1.0 (11-03-2020)	-
AusGEM_01660	-	O11	H25	O11:H25	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O11-4-wzx;O11-5-wzy;H25-14-fliC;	100;100;100;	100;100;100;	contig00021;contig00021;contig00009;	7154-8389;9120-10355;56000-57319;	1236;1236;1320;	v1.0 (11-03-2020)	-
SRR7724608	-	O25	H4	O25:H4	-	Based on 3 allele(s)	wzx:0.96;wzy:0.957;fliC:1;	O25-1-wzx-origin;O25-2-wzy-origin;H4-2-fliC-origin;	96.032;95.673;100;	100;100;100;	contig00032;contig00032;contig00012;	29975-31234;26760-27822;98184-99233;	1260;1063;1050;	v1.0 (11-03-2020)	-
AusGEM_00462	-	O4	H31	O4:H31	-	Based on 3 allele(s)	wzx:0.999;wzy:1;fliC:1;	O4-1-wzx-origin;O4-2-wzy-origin;H31-2-fliC-origin;	99.919;100;100;	100;100;100;	contig00003;contig00003;contig00002;	583763-585001;585897-587084;515032-516699;	1239;1188;1668;	v1.0 (11-03-2020)	-
TEA_E8621	-	-	H6	-:H6	-	Based on 1 allele(s)	fliC:1;	H6-5-fliC;	100;	100;	CADGAR010000011.1;	41621-43267;	1647;	v1.0 (11-03-2020)	-
AusGEM_01680	-	O173	H16	O173:H16	-	Based on 3 allele(s)	wzx:0.98;wzy:0.99;fliC:1;	O173-1-wzx-origin;O173-2-wzy-origin;H16-25-fliC;	98.998;98.981;100;	99;100;100;	contig00001;contig00001;contig00001;	141765-142962;133329-134408;46787-48361;	1198;1080;1575;	v1.0 (11-03-2020)	-
AUSMDU00065398	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:0.999;wzy:0.52;fliC:1;	O75-6-wzx;O75-11-wzy;H5-6-fliC;	99.935;100;100;	100;52;100;	contig00024;contig00024;contig00008;	5453-6985;1-554;123380-124689;	1533;554;1310;	v1.0 (11-03-2020)	-
AusGEM_00914	-	O9	H4	O9:H4	-	Based on 3 allele(s)	wzm:0.999;wzt:1;fliC:1;	O9-14-wzm;O9-8-wzt-origin;H4-15-fliC;	99.873;100;100;	100;100;100;	contig00046;contig00046;contig00002;	5345-6130;6133-7428;175715-176764;	786;1296;1050;	v1.0 (11-03-2020)	-
ERR5355703	-	O5	H34	O5:H34	-	Based on 3 allele(s)	wzx:0.999;wzy:0.999;fliC:0.66;	O5-6-wzx;O5-11-wzy;H34-5-fliC;	99.92;99.924;98.639;	100;100;67;	contig00007;contig00007;contig00003;	65711-66967;64394-65710;44374-45475;	1257;1317;1102;	v1.0 (11-03-2020)	-
AusGEM_01423	-	O1	H7	O1:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O1-1-wzx-origin;O1-7-wzy;H7-3-fliC-origin;	100;100;100;	100;100;100;	contig00015;contig00015;contig00016;	64028-65254;67522-68526;79209-80966;	1227;1005;1758;	v1.0 (11-03-2020)	-
AUSMDU00020588	-	O2/O50	H30	O2/O50:H30	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O2-1-wzx-origin;O2-11-wzy;H30-2-fliC;	100;100;100;	100;100;100;	contig00018;contig00018;contig00025;	4975-6237;2300-3262;21084-22796;	1263;963;1713;	v1.0 (11-03-2020)	High similarity O-antigen group 7:O2/O50 as per A.Iguchi et.al (PMID: 25428893)
AusGEM_00114	-	O36	H4	O36:H4	-	Based on 3 allele(s)	wzx:1;wzy:0.999;fliC:1;	O36-8-wzx;O36-18-wzy;H4-2-fliC-origin;	100;99.92;100;	100;100;100;	contig00021;contig00021;contig00012;	44036-45280;46814-48070;88864-89913;	1245;1257;1050;	v1.0 (11-03-2020)	-
AUSMDU00012378	-	O1	H6	O1:H6	-	Based on 3 allele(s)	wzx:1;wzy:0.56;fliC:1;	O1-1-wzx-origin;O1-7-wzy;H6-17-fliC;	100;100;99.637;	100;56;100;	contig00062;contig00062;contig00033;	1523-2749;5017-5576;30238-31884;	1227;560;1653;	v1.0 (11-03-2020)	-
TEA_A4_12	-	O115	H25	O115:H25	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O115-1-wzx-origin;O115-2-wzy-origin;H25-11-fliC;	100;100;100;	100;100;100;	CADGYA010000113.1;CADGYA010000113.1;CADGYA010000054.1;	90808-92295;93103-94170;120623-121942;	1488;1068;1320;	v1.0 (11-03-2020)	-
AUSMDU00007431	-	-	H18	-:H18	-	Based on 1 allele(s)	fliC:0.97;	H18-2-fliC;	97.127;	100;	contig00013;	88409-90079;	1671;	v1.0 (11-03-2020)	-
SRR7724768	-	O9	H4	O9:H4	-	Based on 3 allele(s)	wzm:1;wzt:0.999;fliC:1;	O9-14-wzm;O9-19-wzt;H4-15-fliC;	100;99.923;100;	100;100;100;	contig00050;contig00050;contig00078;	3622-4407;4410-5705;5825-6874;	786;1296;1050;	v1.0 (11-03-2020)	-
AUSMDU00019228	-	O75	H5	O75:H5	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O75-6-wzx;O75-11-wzy;H5-6-fliC;	100;100;100;	100;100;100;	contig00001;contig00001;contig00001;	320855-322387;327290-328363;123380-124689;	1533;1074;1310;	v1.0 (11-03-2020)	-
AusGEM_01599	-	O18	H7	O18:H7	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O18-7-wzx;O18-12-wzy;H7-6-fliC-origin;	100;100;100;	100;100;100;	contig00001;contig00001;contig00001;	394379-395626;393133-394322;303522-305279;	1248;1190;1758;	v1.0 (11-03-2020)	-
AusGEM_00102	-	O88	H18	O88:H18	-	Based on 2 allele(s)	wzx:0.955;fliC:0.97;	O88-3-wzx;H18-2-fliC;	95.542;97.187;	100;100;	contig00028;contig00002;	46182-47639;191901-193571;	1458;1671;	v1.0 (11-03-2020)	-
AusGEM_00521	-	O21	H14	O21:H14	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:0.97;	O21-3-wzx;O21-2-wzy-origin;H14-4-fliC;	100;100;97.217;	100;100;100;	contig00003;contig00003;contig00002;	430226-431461;433750-434832;106749-108401;	1236;1083;1653;	v1.0 (11-03-2020)	-
SRR11080152	-	-	H11	-:H11	-	Based on 1 allele(s)	fliC:1;	H11-4-fliC;	100;	100;	contig00006;	34713-36171;	1459;	v1.0 (11-03-2020)	-
ERR5355930	-	O15	H1	O15:H1	-	Based on 3 allele(s)	wzx:1;wzy:1;fliC:1;	O15-4-wzx;O15-8-wzy;H1-11-fliC;	100;100;100;	100;100;100;	contig00055;contig00033;contig00004;	781-2025;31810-32988;198807-200594;	1245;1179;1788;	v1.0 (11-03-2020)	-
