name	genes_detected	quadraplex_resuts	alleles_for_C_or_G	clermontyping_phylogroup	mashfile
ERR5355925	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	ERR5355925.fasta_mash_screen.tab
AUSMDU00015697	['trpA', 'trpBA', 'yjaA', 'arpA']	['+', '-', '+', '-']	[]	A	AUSMDU00015697.fasta_mash_screen.tab
AUSMDU00010592	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	AUSMDU00010592.fasta_mash_screen.tab
TEA_A4_9	['trpA', 'trpBA', 'chuA', 'TspE4.C2', 'arpA', 'ArpAgpE']	['+', '+', '-', '+']	['ArpAgpE']	E	TEA_A4_9.fasta_mash_screen.tab
SRR11355614	['ybgD', 'trpA', 'trpBA', 'TspE4.C2', 'arpA', 'trpAgpC']	['+', '-', '-', '+']	['trpAgpC']	B1	SRR11355614.fasta_mash_screen.tab
AUSMDU00011867	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	AUSMDU00011867.fasta_mash_screen.tab
AUSMDU00010777	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	AUSMDU00010777.fasta_mash_screen.tab
TEA_B1940	['ybgD', 'trpA', 'trpBA', 'arpA']	['+', '-', '-', '-']	[]	A	TEA_B1940.fasta_mash_screen.tab
AUSMDU00016924	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	AUSMDU00016924.fasta_mash_screen.tab
AusGEM_00888	['ybgD', 'trpA', 'trpBA', 'arpA']	['+', '-', '-', '-']	[]	A	AusGEM_00888.fasta_mash_screen.tab
TEA_E5795	['trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	TEA_E5795.fasta_mash_screen.tab
TEA_4_1_C3	['ybgD', 'trpA', 'trpBA', 'chuA', 'arpA', 'trpAgpC']	['+', '+', '-', '-']	['trpAgpC']	D	TEA_4_1_C3.fasta_mash_screen.tab
TEA_POSS_77	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	TEA_POSS_77.fasta_mash_screen.tab
AUSMDU00034108	['ybgD', 'trpA', 'trpBA', 'yjaA', 'arpA', 'trpAgpC']	['+', '-', '+', '-']	['trpAgpC']	C	AUSMDU00034108.fasta_mash_screen.tab
SRR14160815	['ybgD', 'trpA', 'trpBA', 'chuA', 'arpA', 'trpAgpC']	['+', '+', '-', '-']	['trpAgpC']	D	SRR14160815.fasta_mash_screen.tab
AusGEM_00019	['ybgD', 'trpA', 'trpBA', 'chuA', 'trpAgpC']	['-', '+', '-', '-']	['trpAgpC']	G	AusGEM_00019.fasta_mash_screen.tab
SRR12398591	['trpA', 'trpBA', 'chuA', 'arpA', 'ArpAgpE', 'trpAgpC']	['+', '+', '-', '-']	['ArpAgpE', 'trpAgpC']	E	SRR12398591.fasta_mash_screen.tab
AUSMDU00034379	['ybgD', 'trpA', 'trpBA', 'chuA', 'TspE4.C2', 'arpA', 'trpAgpC']	['+', '+', '-', '+']	['trpAgpC']	D	AUSMDU00034379.fasta_mash_screen.tab
TEA_C3_40	['ybgD', 'trpA', 'trpBA', 'chuA', 'arpA']	['+', '+', '-', '-']	[]	D	TEA_C3_40.fasta_mash_screen.tab
SRR7724635	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	SRR7724635.fasta_mash_screen.tab
AUSMDU00014582	['ybgD', 'trpA', 'trpBA', 'chuA', 'TspE4.C2', 'arpA', 'trpAgpC']	['+', '+', '-', '+']	['trpAgpC']	D	AUSMDU00014582.fasta_mash_screen.tab
AusGEM_00212	['ybgD', 'trpA', 'trpBA', 'chuA', 'trpAgpC']	['-', '+', '-', '-']	['trpAgpC']	G	AusGEM_00212.fasta_mash_screen.tab
AUSMDU00034386	['ybgD', 'trpA', 'trpBA', 'yjaA', 'arpA', 'trpAgpC']	['+', '-', '+', '-']	['trpAgpC']	C	AUSMDU00034386.fasta_mash_screen.tab
TEA_C2_53	['ybgD', 'trpA', 'trpBA', 'chuA', 'arpA']	['+', '+', '-', '-']	[]	D	TEA_C2_53.fasta_mash_screen.tab
AusGEM_00132	['trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	AusGEM_00132.fasta_mash_screen.tab
TEA_B1661	['trpA', 'trpBA', 'chuA']	['-', '+', '-', '-']	[]	F	TEA_B1661.fasta_mash_screen.tab
AUSMDU00004839	['ybgD', 'trpA', 'trpBA', 'TspE4.C2', 'arpA', 'trpAgpC']	['+', '-', '-', '+']	['trpAgpC']	B1	AUSMDU00004839.fasta_mash_screen.tab
SRR11341646	['ybgD', 'trpA', 'trpBA', 'TspE4.C2', 'arpA', 'trpAgpC']	['+', '-', '-', '+']	['trpAgpC']	B1	SRR11341646.fasta_mash_screen.tab
AusGEM_00379	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2']	['-', '+', '+', '+']	[]	B2	AusGEM_00379.fasta_mash_screen.tab
TEA_E5021	['trpA', 'trpBA', 'yjaA', 'arpA']	['+', '-', '+', '-']	[]	A	TEA_E5021.fasta_mash_screen.tab
ERR5355751	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	ERR5355751.fasta_mash_screen.tab
ERR5355737	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	ERR5355737.fasta_mash_screen.tab
AusGEM_00176	['ybgD', 'trpA', 'trpBA', 'chuA', 'arpA', 'trpAgpC']	['+', '+', '-', '-']	['trpAgpC']	D	AusGEM_00176.fasta_mash_screen.tab
AusGEM_00694	['trpA', 'trpBA', 'chuA', 'yjaA', 'trpAgpC']	['-', '+', '+', '-']	['trpAgpC']	B2	AusGEM_00694.fasta_mash_screen.tab
SRR12398585	['trpA', 'trpBA', 'chuA', 'arpA', 'ArpAgpE', 'trpAgpC']	['+', '+', '-', '-']	['ArpAgpE', 'trpAgpC']	E	SRR12398585.fasta_mash_screen.tab
AUSMDU00022676	['trpA', 'trpBA', 'chuA', 'trpAgpC']	['-', '+', '-', '-']	['trpAgpC']	F	AUSMDU00022676.fasta_mash_screen.tab
TEA_E5183	['ybgD', 'trpA', 'trpBA', 'arpA']	['+', '-', '-', '-']	[]	A	TEA_E5183.fasta_mash_screen.tab
TEA_E7648	['trpA', 'chuA', 'trpAgpC']	['-', '+', '-', '-']	['trpAgpC']	F	TEA_E7648.fasta_mash_screen.tab
TEA_E8272	['trpA', 'trpBA', 'TspE4.C2', 'arpA', 'trpAgpC']	['+', '-', '-', '+']	['trpAgpC']	B1	TEA_E8272.fasta_mash_screen.tab
AusGEM_00840	['ybgD', 'trpA', 'trpBA', 'chuA', 'arpA', 'trpAgpC']	['+', '+', '-', '-']	['trpAgpC']	D	AusGEM_00840.fasta_mash_screen.tab
AusGEM_00911	['ybgD', 'trpA', 'trpBA', 'yjaA', 'arpA']	['+', '-', '+', '-']	[]	A	AusGEM_00911.fasta_mash_screen.tab
AUSMDU00019713	['trpA', 'trpBA', 'yjaA', 'arpA']	['+', '-', '+', '-']	[]	A	AUSMDU00019713.fasta_mash_screen.tab
TEA_E7562	['trpA', 'trpBA', 'TspE4.C2', 'arpA', 'trpAgpC']	['+', '-', '-', '+']	['trpAgpC']	B1	TEA_E7562.fasta_mash_screen.tab
SRR7724804	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	SRR7724804.fasta_mash_screen.tab
AusGEM_00952	['ybgD', 'trpA', 'trpBA', 'TspE4.C2', 'arpA', 'trpAgpC']	['+', '-', '-', '+']	['trpAgpC']	B1	AusGEM_00952.fasta_mash_screen.tab
AUSMDU00009732	['trpA', 'trpBA', 'yjaA', 'arpA']	['+', '-', '+', '-']	[]	A	AUSMDU00009732.fasta_mash_screen.tab
AUSMDU00008001	['ybgD', 'trpA', 'trpBA', 'chuA', 'TspE4.C2', 'arpA', 'trpAgpC']	['+', '+', '-', '+']	['trpAgpC']	D	AUSMDU00008001.fasta_mash_screen.tab
SRR4241796	['trpBA', 'chuA']	['-', '+', '-', '-']	[]	F	SRR4241796.fasta_mash_screen.tab
AUSMDU00011325	['trpA', 'trpBA', 'chuA', 'trpAgpC']	['-', '+', '-', '-']	['trpAgpC']	F	AUSMDU00011325.fasta_mash_screen.tab
AusGEM_00268	['trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	AusGEM_00268.fasta_mash_screen.tab
AusGEM_01326	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	AusGEM_01326.fasta_mash_screen.tab
SRR11355604	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	SRR11355604.fasta_mash_screen.tab
TEA_B1900	['trpA', 'trpBA', 'yjaA', 'arpA']	['+', '-', '+', '-']	[]	A	TEA_B1900.fasta_mash_screen.tab
AUSMDU00005011	['ybgD', 'trpA', 'trpBA', 'chuA', 'arpA', 'trpAgpC']	['+', '+', '-', '-']	['trpAgpC']	D	AUSMDU00005011.fasta_mash_screen.tab
AUSMDU00046798	['ybgD', 'trpA', 'trpBA', 'yjaA', 'arpA', 'trpAgpC']	['+', '-', '+', '-']	['trpAgpC']	C	AUSMDU00046798.fasta_mash_screen.tab
AUSMDU00019683	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	AUSMDU00019683.fasta_mash_screen.tab
SRR11094188	['trpA', 'trpBA', 'yjaA', 'arpA']	['+', '-', '+', '-']	[]	A	SRR11094188.fasta_mash_screen.tab
AUSMDU00010589	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	AUSMDU00010589.fasta_mash_screen.tab
AUSMDU00031764	['trpA', 'trpBA', 'chuA', 'yjaA', 'TspE4.C2', 'trpAgpC']	['-', '+', '+', '+']	['trpAgpC']	B2	AUSMDU00031764.fasta_mash_screen.tab
SRR14160945	['ybgD', 'trpA', 'trpBA', 'arpA', 'trpAgpC']	['+', '-', '-', '-']	['trpAgpC']	A	SRR14160945.fasta_mash_screen.tab
AUSMDU00038293	['trpA', 'trpBA', 'yjaA', 'arpA']	['+', '-', '+', '-']	[]	A	AUSMDU00038293.fasta_mash_screen.tab
