ID	Tx:2500	Tx:2250	Tx:2000	Tx:1750	Tx:1500	Tx:1250	Tx:1000	Tx:750	Tx:500	Tx:400	Tx:300	Tx:200	Tx:150	Tx:100	Tx:75	Tx:50	Tx:25	Tx:10	Tx:9	Tx:8	Tx:7	Tx:6	Tx:5	Tx:4	Tx:3	Tx:2	Tx:1	Tx:0
AusGEM_00071	1	2	8	4	117	117	58	29	188	188	1083	1083	541	541	1082	1082	1082	2164	2164	2164	2164	2164	2164	2164	2164	2164	270	UC
AusGEM_00072	1	14	11	30	60	60	60	60	41	37	32	322	10	104	6	112	713	713	713	713	356	356	178	178	178	178	178	UC
AusGEM_00073	1	18	18	13	105	105	52	252	97	24	125	174	539	269	269	269	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00074	1	18	18	13	105	105	52	252	97	24	125	329	329	329	329	329	117	129	129	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00076	1	3	31	62	107	107	214	213	18	400	400	400	800	800	800	400	402	390	97	97	97	97	97	427	427	213	162	UC
AusGEM_00077	1	3	31	62	107	107	214	213	18	400	400	400	800	800	800	400	402	390	97	97	97	97	97	427	427	213	162	UC
AusGEM_00078	1	3	31	62	107	107	214	213	362	181	84	168	252	7	724	362	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00079	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	355	218	218	218	218	109	109	UC	UC	UC	UC	UC
AusGEM_00080	1	2	8	10	10	12	19	262	262	262	262	65	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00083	1	14	11	30	60	60	60	60	41	37	32	322	10	104	6	283	1633	204	102	12	2251	2251	1125	1125	1125	1125	281	UC
AusGEM_00084	1	3	31	62	107	107	214	213	18	400	400	400	800	800	800	400	402	390	97	97	97	97	97	427	427	213	100	UC
AusGEM_00085	1	18	18	13	105	105	52	252	34	69	14	579	18	561	1123	1123	561	70	35	35	70	UC	UC	UC	UC	UC	UC	UC
AusGEM_00086	1	18	18	13	105	105	52	252	34	69	14	276	276	443	110	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00087	1	14	3	171	171	85	331	165	330	165	481	120	100	17	381	381	763	381	381	381	381	381	381	190	190	190	95	UC
AusGEM_00088	1	7	48	48	24	88	20	65	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00089	1	14	11	30	60	60	60	60	41	37	32	322	10	104	6	283	1633	204	102	12	706	706	706	353	353	353	353	UC
AusGEM_00090	1	6	25	7	52	52	29	7	207	103	1009	1009	1009	1009	2018	2018	1009	1	65	280	561	561	561	561	280	UC	UC	UC
AusGEM_00091	1	6	25	7	52	52	29	7	207	103	1009	1009	1009	1009	2018	2018	1009	1	65	280	561	561	561	561	280	UC	UC	UC
AusGEM_00093	1	3	31	62	107	107	214	271	271	33	140	430	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00094	1	18	18	13	105	105	52	252	34	69	14	276	276	409	409	733	1466	18	553	553	553	138	138	UC	UC	UC	UC	UC
AusGEM_00095	1	18	18	13	105	105	52	252	34	69	14	276	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00096	1	18	18	13	105	105	52	252	34	69	14	276	276	409	409	733	1466	18	553	553	553	138	138	UC	UC	UC	UC	UC
AusGEM_00097	1	7	45	12	62	41	18	539	539	539	538	538	538	538	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	269	324	UC
AusGEM_00098	1	7	45	12	62	41	18	539	539	539	538	538	538	538	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	1076	269	555	UC
AusGEM_00099	1	14	11	30	60	60	60	60	41	37	19	44	710	710	355	88	250	1095	1095	1095	1095	1095	547	547	547	273	273	UC
AusGEM_00100	1	1	70	141	283	283	283	141	141	35	10	547	547	273	273	480	120	1046	523	523	523	523	523	523	523	261	261	UC
AusGEM_00101	1	18	18	13	105	105	52	252	34	69	14	276	276	409	409	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00102	1	5	63	63	239	59	7	97	63	199	117	26	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00104	1	18	18	13	105	105	52	252	34	69	14	276	276	409	409	733	1466	2093	1046	1046	1046	1046	1046	1046	1046	523	523	UC
AusGEM_00105	1	18	18	13	105	105	52	252	34	69	14	276	276	409	409	733	1466	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00106	1	18	18	13	105	105	52	252	97	24	125	329	329	329	329	329	441	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00107	1	18	18	13	105	105	52	252	97	24	125	329	329	329	329	329	441	118	59	29	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00108	1	6	25	7	52	52	29	7	207	103	1009	1009	1009	1009	2018	2018	1009	267	133	66	33	UC	UC	UC	UC	UC	UC	UC
AusGEM_00109	1	3	31	62	107	107	214	213	18	400	400	400	800	800	800	400	402	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00110	1	1	70	141	283	283	283	141	141	35	10	547	547	273	273	480	120	224	554	554	554	554	554	554	554	554	554	UC
AusGEM_00113	1	18	18	13	105	105	52	252	97	24	125	329	329	329	329	329	441	118	59	29	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00114	1	18	18	13	105	105	52	252	34	69	14	276	276	443	110	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00115	1	7	45	2	59	158	158	158	158	158	158	316	316	316	316	632	632	632	632	632	632	632	632	316	316	316	316	UC
AusGEM_00116	1	18	18	13	105	105	52	252	34	69	14	276	276	409	409	733	1466	18	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00117	1	6	25	7	52	52	29	7	207	103	1009	1009	1009	1009	2018	2018	1009	267	133	66	33	300	300	300	203	203	UC	UC
AusGEM_00118	1	1	70	141	283	283	283	141	141	35	10	547	547	273	273	480	120	224	491	61	61	61	UC	UC	UC	UC	UC	UC
AusGEM_00119	1	7	45	22	27	83	447	447	55	27	243	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00120	1	18	18	13	105	105	52	252	34	69	123	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00121	1	14	11	30	60	60	60	60	41	891	891	445	445	890	890	445	888	1417	1417	708	708	708	708	708	708	708	708	UC
AusGEM_00122	1	3	31	62	107	107	214	213	186	186	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00124	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	355	183	91	556	556	556	556	556	556	278	354	UC
AusGEM_00125	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	355	183	91	556	556	556	556	556	556	278	354	UC
AusGEM_00126	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	893	223	223	223	223	223	111	55	2165	1082	67	UC
AusGEM_00127	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	893	223	223	223	223	223	111	55	2165	1082	67	UC
AusGEM_00128	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	893	223	223	223	223	223	111	55	2165	1082	67	UC
AusGEM_00129	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	893	223	223	223	223	223	111	55	2165	1082	67	UC
AusGEM_00130	1	18	18	13	105	105	52	252	34	432	432	432	432	432	432	432	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00131	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	893	223	223	223	223	223	111	55	2165	1082	67	UC
AusGEM_00132	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	893	223	223	223	223	223	111	55	2165	1082	67	UC
AusGEM_00133	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	893	223	223	223	223	223	111	55	2165	1082	67	UC
AusGEM_00135	1	14	44	89	76	76	28	115	156	156	156	313	313	313	313	156	39	232	232	232	116	116	58	298	1195	597	298	UC
AusGEM_00136	1	14	44	89	76	76	28	115	156	156	156	313	313	313	313	156	39	232	232	232	116	116	58	298	1195	597	298	UC
AusGEM_00137	1	14	44	89	76	76	28	115	156	156	156	313	313	313	313	156	39	232	232	232	116	116	58	298	1195	597	298	UC
AusGEM_00138	1	14	44	89	76	76	28	115	156	156	156	313	313	313	313	156	39	232	232	232	116	116	58	298	1195	597	298	UC
AusGEM_00139	1	18	18	13	105	105	52	252	34	69	14	653	326	163	40	1151	575	71	71	71	71	143	UC	UC	UC	UC	UC	UC
AusGEM_00140	1	18	18	13	105	105	52	252	34	69	14	653	326	163	40	1151	575	71	71	71	71	143	559	559	559	559	279	UC
AusGEM_00141	1	18	18	13	105	105	52	252	34	69	14	653	326	163	40	1151	575	71	71	71	71	143	559	559	559	559	279	UC
AusGEM_00142	1	18	18	13	105	105	52	252	34	69	14	653	326	163	40	1151	575	71	71	71	71	143	559	559	559	559	279	UC
AusGEM_00144	1	7	45	15	36	36	36	35	48	32	249	42	8	869	869	869	595	297	297	297	297	297	297	594	594	594	297	UC
AusGEM_00145	1	2	9	31	109	48	96	283	567	567	567	1134	1134	567	283	566	141	514	257	128	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00146	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00147	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00148	1	2	8	4	53	26	37	135	107	53	929	929	929	929	464	232	116	465	465	465	232	232	116	116	392	392	392	UC
AusGEM_00150	1	2	8	4	53	26	37	135	107	53	929	929	929	929	464	232	116	465	465	465	232	232	116	116	392	392	392	UC
AusGEM_00151	1	2	8	10	10	12	19	14	46	8	222	111	111	222	874	437	875	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00152	1	14	11	30	60	60	60	60	41	37	19	44	710	710	355	88	360	360	360	180	180	90	90	90	90	544	272	UC
AusGEM_00153	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	355	183	91	1121	1121	1121	1121	1121	1121	560	280	UC
AusGEM_00154	1	14	11	30	60	60	60	60	41	37	19	44	710	710	355	88	360	360	360	180	180	90	90	90	90	UC	UC	UC
AusGEM_00156	1	7	45	12	252	252	252	214	214	107	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00157	1	14	40	5	301	301	301	301	301	301	301	301	301	301	301	301	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00158	1	7	45	2	7	162	40	40	182	91	31	11	99	20	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00159	1	14	11	30	60	60	60	60	41	37	19	44	710	710	355	88	360	360	360	180	180	90	90	90	90	544	272	UC
AusGEM_00160	1	14	44	89	76	76	28	115	156	156	156	313	313	313	313	156	39	232	232	232	116	116	58	111	55	55	UC	UC
AusGEM_00161	1	14	44	89	76	76	28	115	156	156	156	313	313	313	313	156	39	232	232	232	116	116	58	111	55	55	UC	UC
AusGEM_00162	1	2	8	4	53	26	37	135	107	53	929	929	929	929	464	232	116	465	465	465	232	232	116	116	UC	UC	UC	UC
AusGEM_00163	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	355	183	91	1121	1121	1121	1121	1121	1121	560	280	UC
AusGEM_00164	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	355	183	91	1121	1121	1121	1121	1121	1121	560	280	UC
AusGEM_00165	1	14	11	30	60	60	60	60	191	191	445	222	222	444	444	444	355	183	91	1121	1121	1121	1121	1121	1121	560	280	UC
AusGEM_00166	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	944	944	944	944	944	1169	1169	1169	292	206	UC
AusGEM_00167	1	2	9	31	109	48	96	283	567	567	567	1134	1134	567	283	566	141	514	257	128	426	426	426	106	227	227	210	UC
AusGEM_00168	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	944	944	944	944	944	1169	1169	1169	292	206	UC
AusGEM_00169	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	944	944	944	944	944	1169	1169	1169	292	206	UC
AusGEM_00170	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	944	944	944	944	944	1169	1169	1169	292	206	UC
AusGEM_00171	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	944	944	944	944	944	1169	1169	1169	292	UC	UC
AusGEM_00172	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	944	944	944	944	944	1169	1169	1169	292	206	UC
AusGEM_00173	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	944	944	944	944	944	1169	1169	1169	292	206	UC
AusGEM_00174	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	944	944	944	944	944	1169	1169	1169	292	206	UC
AusGEM_00175	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	944	944	944	944	944	1169	1169	1169	292	206	UC
AusGEM_00176	1	4	13	41	20	31	62	177	17	223	64	75	161	97	2185	325	162	944	944	944	944	944	1169	1169	1169	292	206	UC
AusGEM_00177	1	7	45	15	36	36	36	35	48	32	249	42	8	869	869	869	595	297	297	297	297	297	297	594	594	594	297	UC
AusGEM_00178	1	2	8	10	10	44	26	3	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00179	1	7	45	15	36	36	36	35	48	32	249	42	8	869	869	869	595	297	297	297	297	297	297	594	594	594	297	UC
AusGEM_00180	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00181	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	392	784	75	75	279	279	69	UC	UC	UC	UC	UC	UC
AusGEM_00182	1	2	8	10	10	12	19	69	8	25	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00183	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	392	784	1082	541	541	541	270	135	510	510	255	255	UC
AusGEM_00184	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	392	784	1082	541	541	541	270	135	UC	UC	UC	UC	UC
AusGEM_00185	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	392	784	75	75	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00186	1	18	18	13	105	105	52	252	97	24	125	160	746	746	746	746	746	186	186	186	186	93	93	93	565	141	UC	UC
AusGEM_00187	1	18	18	13	105	105	52	252	97	24	125	160	746	746	746	746	746	186	186	186	186	93	93	93	565	141	150	UC
AusGEM_00188	1	18	18	13	105	105	52	252	97	24	125	160	746	746	746	746	746	186	186	186	186	93	93	93	565	141	150	UC
AusGEM_00189	1	2	9	31	109	48	96	283	567	567	567	1134	1134	567	283	566	141	514	257	128	426	426	426	106	303	303	303	UC
AusGEM_00190	1	18	18	13	105	105	52	252	97	24	125	160	746	746	746	746	746	186	186	186	186	93	93	93	565	141	150	UC
AusGEM_00191	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	392	784	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00192	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	392	784	1082	541	541	541	270	135	510	510	255	255	UC
AusGEM_00193	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	392	784	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00194	1	7	45	2	7	162	40	40	182	91	31	11	707	707	707	707	707	88	269	269	134	134	1902	951	951	237	UC	UC
AusGEM_00195	1	7	45	2	7	162	40	40	182	91	31	11	707	707	707	707	707	88	269	269	134	134	1902	951	951	237	UC	UC
AusGEM_00196	1	18	18	13	105	105	52	252	34	69	14	337	337	168	349	349	349	43	43	43	43	21	UC	UC	UC	UC	UC	UC
AusGEM_00197	1	18	18	13	105	105	52	252	34	69	14	337	337	168	349	349	349	43	43	43	43	21	UC	UC	UC	UC	UC	UC
AusGEM_00198	1	3	31	62	107	107	214	213	186	186	279	558	558	558	1116	1116	558	558	558	558	558	558	558	558	558	279	UC	UC
AusGEM_00199	1	3	31	62	107	107	214	213	186	186	279	558	558	558	1116	1116	558	558	558	558	558	558	558	558	558	279	203	UC
AusGEM_00200	1	2	9	31	109	48	96	283	567	567	567	1134	1134	567	283	566	141	514	257	128	426	426	426	106	303	303	303	UC
AusGEM_00201	1	3	31	62	107	107	214	213	186	186	279	558	558	558	1116	1116	558	558	558	558	558	558	558	558	558	279	203	UC
AusGEM_00202	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	392	784	75	75	279	279	69	56	274	137	UC	UC	UC
AusGEM_00203	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	392	784	75	75	279	279	69	56	UC	UC	UC	UC	UC
AusGEM_00204	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	392	784	75	75	279	279	69	56	274	137	UC	UC	UC
AusGEM_00205	1	18	18	13	105	105	52	252	97	24	269	269	828	414	414	392	784	75	75	279	279	69	56	274	137	UC	UC	UC
AusGEM_00206	1	2	8	10	10	46	5	124	3	78	78	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC	UC
AusGEM_00208	1	14	3	85	85	21	395	395	98	98	430	108	54	421	421	421	420	52	1107	1107	1107	553	553	553	276	276	276	UC
AusGEM_00209	1	18	18	13	105	105	52	252	97	24	125	160	746	746	746	746	746	186	186	186	186	93	93	93	UC	UC	UC	UC
AusGEM_00210	1	18	18	13	105	105	52	252	34	69	14	597	298	298	298	1192	596	596	596	596	596	298	149	149	149	156	161	UC
AusGEM_00211	1	2	9	31	109	48	96	283	567	567	567	1134	1134	567	283	566	141	514	257	128	426	426	426	106	303	303	303	UC
AusGEM_00212	1	18	18	13	105	105	52	252	34	69	14	597	298	298	298	1192	596	596	596	596	596	298	149	149	149	156	161	UC
AusGEM_00213	1	18	18	13	105	105	52	252	34	69	14	597	298	298	298	1192	596	596	596	596	596	298	149	149	149	UC	UC	UC
