IncF_RST..IncF RST	primary_cluster_id	Cluster__autocolour	ColV	fimtyper..Fimtype	Collection	Collection_Year	Revised_Source_Simple	Revised_Source_Type	Revised_Source_Niche	Sample 1
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00309
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00311
F4:A-:B1	AA175	2	1	fimH27	AusGEM	2016	NA	Avian	Livestock	AusGEM_00312
F36!/F31!:A4:B1	AA324	5	0	fimH27	AusGEM	2013	NA	Human	Human	AusGEM_00764
F52:A6*:B48	AA320	6	1	fimH27	AusGEM	2014	NA	Human	Human	AusGEM_00790
C5?*:A-:B1	AA176	7	1	fimH47	AusGEM	2015	NA	Human	Human	AusGEM_00819
F29:A-:B10	AA337	8	0	fimH27	AusGEM	2013	NA	Human	Human	AusGEM_00825
F29:A-:B10	AA337	9	0	fimH27	AusGEM	2013	NA	Human	Human	AusGEM_00836
F52:A6*:B48	AA320	10	0	fimH27	AusGEM	2017	NA	Porcine	Livestock	AusGEM_00925
F52:A6*:B48	AA320	10	0	fimH27	AusGEM	2017	NA	Porcine	Livestock	AusGEM_00949
F52:A6*:B48	AA320	10	0	fimH27	AusGEM	2017	NA	Porcine	Livestock	AusGEM_00983
F52:A6*:B48	novel_ac65962b24c1b2c8eafeb317b57e6d10	10	0	fimH27	AusGEM	2017	NA	Porcine	Livestock	AusGEM_01021
F67:A-:B38	AA303	11	0	fimH27	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01034
F67:A-:B38	AA303	11	0	fimH27	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01042
F67:A-:B38	AA303	11	0	fimH27	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01043
C5:A-:B72*	AA314	12	0	fimH297	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01095
F29:A-:B10	AA337	13	0	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01160
F29:A-:B10	AA337	13	0	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01164
F29:A-:B10	AA337	14	0	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01207
F29:A-:B10	AA337	14	0	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01217
F24:A-:B1	AA175	3	1	fimH27	AusGEM	2008	NA	Human	Human	AusGEM_01256
F95:A-:B64	AA297	15	0	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01261
F1:A2:B20	AA171	16	0	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01263
F2:A-:B1	AA176	17	1	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01288
F29:A-:B10	AA337	18	0	fimH27	AusGEM	2009	NA	Human	Human	AusGEM_01329
F-:A-:B-	No F Plasmid	19	0	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01340
F29:A-:B10	AA337	20	0	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01387
F4!/F29!:A-:B10	AA337	21	0	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01419
C4:A5:B1	AA179	22	1	fimH27	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01515
C4:A5:B1	AA179	22	1	fimH27	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01516
F95:A-:B-	AA297	23	0	fimH27	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01517
F95:A-:B20	AA297	24	0	fimH27	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01518
F95:A8:B20	AA351	24	0	fimH27	AusGEM	2012	NA	Avian	Wild Animal	AusGEM_01519
F29:A-:B10	AA352	13	0	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01882
F29:A-:B10	AA352	13	0	fimH27	AusGEM	2006	NA	Human	Human	AusGEM_01890
F29:A-:B10	AA337	25	0	fimH27	AusGEM	2008	NA	Human	Human	AusGEM_01906
F29:A-:B10	AA337	25	0	fimH27	AusGEM	2008	NA	Human	Human	AusGEM_01907
F29:A-:B10	AA337	18	0	fimH27	AusGEM	2007	NA	Human	Human	AusGEM_01927
F29:A-:B10	AA337	26	0	fimH27	AusGEM	2009	NA	Human	Human	AusGEM_01969
F29:A-:B10	AA337	27	0	fimH27	AusGEM	2009	NA	Human	Human	AusGEM_01974
F29:A-:B10	AA337	27	0	fimH27	AusGEM	2009	NA	Human	Human	AusGEM_01976
K15:A-:B-	AA035	28	0	fimH27	AusGEM	2009	NA	Human	Human	AusGEM_02001
F29:A-:B10	AA337	29	0	fimH27	AusGEM	2011	NA	Human	Human	AusGEM_02039
F2!/F1!:A1:B66	AA338	30	0	fimH27	AusGEM	2011	NA	Human	Human	AusGEM_02048
F29:A-:B10	AA337	31	0	fimH27	AusGEM	2011	NA	Human	Human	AusGEM_02049
F29:A-:B10	AA337	32	0	fimH27	AusGEM	2011	NA	Human	Human	AusGEM_02050
F10:A-:B64	AA336	33	0	fimH27	MDU	2014	Urine	Human	Human	AUSMDU00005011
F36!/F31!:A4:B1	AA324	34	0	fimH27	MDU	2017	Urine	Human	Human	AUSMDU00007451
F36!/F1!:A1:B66	AA171	35	0	fimH27	MDU	2017	Swab	Human	Human	AUSMDU00007868
F29!/F2!:A-:B10	AA337	36	0	fimH27	MDU	2017	Tissue	Human	Human	AUSMDU00008268
F29:A-:B10	AA337	26	0	fimH27	MDU	2017	Swab	Human	Human	AUSMDU00008490
F29:A-:B10	AA337	26	0	fimH27	MDU	2017	Urine	Human	Human	AUSMDU00008499
F59*:A1:B1	AA329	37	0	fimH27	MDU	2018	Swab	Human	Human	AUSMDU00015576
F2:A18?*:B66	AA190	38	0	fimH27	MDU	2018	Swab	Human	Human	AUSMDU00015673
F2:A1:B1	AA338	39	0	fimH27	MDU	2018	Blood	Human	Human	AUSMDU00015762
F29:A-:B10	AA337	40	0	fimH27	MDU	2018	Urine	Human	Human	AUSMDU00017155
F1:A1:B20	AA172	41	0	fimH27	MDU	2018	Swab	Human	Human	AUSMDU00018820
F1:A2:B20	AA171	42	0	fimH27	MDU	2018	Swab	Human	Human	AUSMDU00019334
F1:A1:B20	AA172	41	0	fimH27	MDU	2018	Eye	Human	Human	AUSMDU00020025
F29!/F2!:A-:B10	AA337	43	0	fimH27	MDU	2018	Blood	Human	Human	AUSMDU00020152
F29:A-:B10	AA337	44	0	fimH27	MDU	2018	Faeces	Human	Human	AUSMDU00020284
F-:A1:B-	novel_1924b4deb51bf2076727bcf2105234d8	45	0	fimH27	MDU	2018	Urine	Human	Human	AUSMDU00022080
F35!/F107!:A-:B1	AA738	46	1	fimH27	MDU	2018	Swab	Human	Human	AUSMDU00022547
F29:A-:B10	AA337	26	0	fimH27	MDU	2018	Urine	Human	Human	AUSMDU00022937
F36!/F35!/F31!:A4:B64	AA173	47	0	fimH27	MDU	2019	Urine	Human	Human	AUSMDU00024998
F2:A-:B-	AA667	48	0	fimH27	MDU	2016	Swab	Human	Human	AUSMDU00026899
F-:A-:B-	No F Plasmid	49	0	fimH41	MDU	2019	Faeces	Human	Human	AUSMDU00027798
F2:A-:B1	AA176	50	1	fimH27	MDU	2019	Urine	Human	Human	AUSMDU00027857
F52:A6*:B48	AA320	6	1	fimH27	MDU	2019	Urine	Human	Human	AUSMDU00028585
F2:A1:B40	AA338	51	0	fimH27	MDU	2019	Fluid	Human	Human	AUSMDU00029845
F-:A1:B66	AA172	52	0	fimH27	MDU	2019	Urine	Human	Human	AUSMDU00030350
F95!/F4!:A-:B64	AA336	53	0	fimH27	MDU	2017	Swab	Human	Human	AUSMDU00034390
F2!/F1!:A1:B20	AA171	54	0	fimH27	MDU	2017	Swab	Human	Human	AUSMDU00034391
F1:A1:B66	AA174	55	0	fimH27	MDU	2017	Swab	Human	Human	AUSMDU00034392
F95:A-:B10	AA337	56	0	fimH27	MDU	2017	Swab	Human	Human	AUSMDU00034393
F2!/F10!:A-:B1	AA176	57	1	fimH27	MDU	2020	Fluid	Human	Human	AUSMDU00042652
F52:A6*:B48	AA320	6	1	fimH27	MDU	2020	Urine	Human	Human	AUSMDU00042763
F1:A1:B66	AA171	58	0	fimH27	MDU	2020	Urine	Human	Human	AUSMDU00048437
F2:A1:B20	AA171	59	0	fimH27	MDU	2020	Swab	Human	Human	AUSMDU00048442
F4:A-:B-	AA336	60	0	fimH27	MDU	2021	Urine	Human	Human	AUSMDU00056122
F52!/F35!:A6*:B48	AA320	61	1	fimH27	MDU	2021	Blood	Human	Human	AUSMDU00057170
F35!/F29!:A-:B10	AA337	26	0	fimH27	MDU	2021	Blood	Human	Human	AUSMDU00059289
F29:A-:B10	AA337	62	0	fimH27	MDU	2021	Urine	Human	Human	AUSMDU00059811
C4:A6?:B1	AA176	63	1	fimH27	MDU	2021	Swab	Human	Human	AUSMDU00062084
F36!/F31!:A4:B1	AA324	64	0	fimH27	MDU	2021	Urine	Human	Human	AUSMDU00063941
F52!/F45!:A6*:B48	AA320	65	0	fimH27	MDU	2022	Sputum	Human	Human	AUSMDU00067906
F1:A1:B66	AA171	66	0	fimH27	Enterobase	2013	Unknown	Human	Human	ERR5355576
F29:A-:B10	AA337	67	0	fimH27	Enterobase	2014	Unknown	Human	Human	ERR5355624
F29:A-:B10	AA337	68	0	fimH27	Enterobase	2013	Unknown	Human	Human	ERR5355658
F-:A-:B64	AA351	69	0	fimH27	Enterobase	2015	Unknown	Human	Human	ERR5355682
F1:A1:B66	AA171	70	0	fimH27	Enterobase	2015	Unknown	Human	Human	ERR5355781
F-:A-:B64	AA351	71	0	fimH27	Enterobase	2014	Unknown	Human	Human	ERR5355816
F35:A-:B64	AA336	72	0	fimH27	Enterobase	2015	Unknown	Human	Human	ERR5355841
F43!/F1!:A1:B66	AA174	73	0	fimH27	Enterobase	2015	Unknown	Human	Human	ERR5355866
F52:A-:B10	AA337	74	0	fimH27	Enterobase	2013	Unknown	Human	Human	ERR5355869
C4:A-:B40	AA179	75	1	fimH27	Enterobase	2014	Unknown	Human	Human	ERR5355880
F2:A-:B-	AA338	76	0	fimH27	Enterobase	2015	Unknown	Human	Human	ERR5355961
F29:A-:B10	AA337	77	0	fimH27	Enterobase	2013	Unknown	Human	Human	ERR5355970
F1:A1:B20	AA171	78	0	fimH27	Enterobase	2015	Unknown	Human	Human	ERR5355979
F95!/F35!:A-:B20	AA336	79	0	fimH27	Enterobase	2018	Unknown	Human	Human	SRR11094159
C4:A5:B1	AA179	80	1	fimH27	Enterobase	2018	Unknown	Human	Human	SRR11094180
F1:A1:B66	AA171	81	0	fimH27	Enterobase	2019	Unknown	Avian	Wild Animal	SRR11341604
F-:A18?*:B66	novel_ec7754229cc9941075d62ebe3f34ad5f	82	0	fimH27	Enterobase	2019	Unknown	Avian	Wild Animal	SRR11341630
F31!/F2!:A4:B10	novel_f885298e64e7a3ab363acb508cf391e7	83	0	fimH27	Enterobase	2019	UTI	Human	Human	SRR12123278
F-:A17*:B79*	AA304	84	0	fimH47	Enterobase	2020	Faeces	Human	Human	SRR12844969
F-:A2:B20	AA171	85	0	fimH27	Enterobase	2009	Faeces	Human	Human	SRR4067468
F-:A2:B20	AA171	85	0	fimH27	Enterobase	2009	Faeces	Human	Human	SRR4067482
F-:A2:B20	AA171	86	0	fimH27	Enterobase	2009	Faeces	Human	Human	SRR4067501
F1:A2:B20	AA171	85	0	fimH27	Enterobase	2008	Faeces	Human	Human	SRR4067504
F76:A-:B-	AA315	87	0	fimH47	Enterobase	2015	UTI	Human	Human	SRR5512220
F29!/F2!:A-:B10	AA337	88	0	fimH27	Enterobase	2008	Unknown	Human	Human	SRR6455980
F29:A-:B10	AA337	26	0	fimH27	Enterobase	2017	Unknown	Avian	Wild Animal	SRR7724615
F95:A-:B10	AA337	89	0	fimH27	Enterobase	2017	Unknown	Avian	Wild Animal	SRR7724699
NA	NA	90	NA	NA	NA	NA	NA	NA	NA	SRR7724720
F67!/F2!:A-:B38	AA303	91	0	fimH297	Enterobase	2017	Unknown	Avian	Wild Animal	SRR7724772
F95:A-:B10	AA337	92	0	fimH27	Enterobase	2017	Unknown	Avian	Wild Animal	SRR7724788
F29:A-:B10	AA337	93	0	fimH27	Enterobase	2016	Unknown	Human	Human	SRR8767548
F-:A-:B-	No F Plasmid	94	0	fimH47	TEA	2010	NA	Human	Human	TEA_11_1_Ti6
F-:A19*:B-	No F Plasmid	95	0	fimH27	TEA	2010	NA	Human	Human	TEA_22_1_Ti17
F-:A19*:B-	AA474	95	0	fimH27	TEA	2010	NA	Human	Human	TEA_22_1_Ti19
F-:A19*:B-	AA474	95	0	fimH27	TEA	2010	NA	Human	Human	TEA_22_4_Ti18
F29:A-:B10	AA337	96	0	fimH27	TEA	2010	NA	Human	Human	TEA_4_1_C3
F29:A-:B10	AA337	97	0	fimH27	TEA	2010	NA	Human	Human	TEA_4_2_Ti8
F4!/F29!:A-:B10	AA337	98	0	fimH27	TEA	2010	NA	Human	Human	TEA_46_2_Ti11
F1:A1:B66	AA474	99	0	fimH27	TEA	2010	NA	Human	Human	TEA_64_AC3
F1:A1:B66	AA171	99	0	fimH27	TEA	2010	NA	Human	Human	TEA_64_R6
F1:A1:B66	AA336	99	0	fimH27	TEA	2010	NA	Human	Human	TEA_64_Ti5
F29:A-:B10	AA337	100	0	fimH27	TEA	2010	NA	Human	Human	TEA_70_1_AC3
F-:A-:B-	No F Plasmid	101	0	fimH27	TEA	2010	NA	Human	Human	TEA_70_2_TC2
F-:A-:B-	No F Plasmid	102	0	fimH27	TEA	2014	NA	Poultry Meat	Food	TEA_A4_61
F55?:A-:B56*	novel_7d4f5d2e3386ba5c9f780566c4708c2b	103	0	fimH47	TEA	2002	NA	Avian	Wild Animal	TEA_B1167
F2:A-:B1	AA176	50	1	fimH27	TEA	2002	NA	Avian	Wild Animal	TEA_B1341
F2:A-:B1	AA176	50	1	fimH27	TEA	2010	NA	Avian	Wild Animal	TEA_B1505
F-:A-:B52*	novel_ab4a6f0a919048b492f33f6f8bf450a0	104	0	fimH47	TEA	2010	NA	Avian	Wild Animal	TEA_B1565
F-:A-:B52*	novel_18a0dc46eb92b48244e9b62fdec6244d	105	0	fimH47	TEA	2011	NA	Avian	Wild Animal	TEA_B1598
F-:A-:B-	No F Plasmid	106	0	fimH54	TEA	2013	NA	Poultry Meat	Food	TEA_C1_91
F-:A-:B-	No F Plasmid	107	0	fimH27	TEA	2013	NA	Poultry Meat	Food	TEA_C2_45
F76:A-:B-	AA315	87	0	fimH47	TEA	2013	NA	Poultry Meat	Food	TEA_C4_42
F-:A-:B-	No F Plasmid	108	0	fimH27	TEA	2011	NA	Water	Environmental	TEA_E2026
F-:A-:B-	No F Plasmid	109	0	fimH47	TEA	2013	NA	Water	Environmental	TEA_E5472
F56:A6:B26*	AA179	110	0	fimH47	TEA	2013	NA	Water	Environmental	TEA_E8084
F-:A-:B-	No F Plasmid	111	0	fimH47	TEA	2013	NA	Water	Environmental	TEA_E8707
F55?:A-:B56*	AE928	103	0	fimH47	TEA	1995	NA	Mammal	Wild Animal	TEA_TA336
C4:A-:B1	AA176	112	1	fimH27	TEA	2013	NA	Poultry Meat	Food	TEA_W2_76
F-:A-:B-	No F Plasmid	113	0	fimH27	TEA	2014	NA	Poultry Meat	Food	TEA_W2_79
F-:A-:B-	No F Plasmid	114	0	fimH27	TEA	2013	NA	Poultry Meat	Food	TEA_W2_80
F4:A-:B10	AA175	115	1	fimH27	TEA	2014	NA	Poultry Meat	Food	TEA_W3_62
F76:A-:B-	AA315	116	0	fimH47	TEA	2013	NA	Poultry Meat	Food	TEA_W3_67
